#{"t_start": 1532378091.8627086, "env_id": "CartPole-v0"}
r,l,t
31.0,31,4.890926
41.0,41,4.988312
11.0,11,5.013434
13.0,13,5.04126
10.0,10,5.061265
24.0,24,5.107859
18.0,18,5.14268
17.0,17,5.175772
18.0,18,5.211646
15.0,15,5.24078
15.0,15,5.270142
17.0,17,5.303523
10.0,10,5.322994
17.0,17,5.356721
15.0,15,5.386425
23.0,23,5.431728
35.0,35,5.500179
15.0,15,5.52943
39.0,39,5.605916
16.0,16,5.63727
14.0,14,5.664235
49.0,49,5.75984
32.0,32,5.823371
20.0,20,5.862452
32.0,32,5.924534
33.0,33,5.988831
26.0,26,6.039399
23.0,23,6.084866
41.0,41,6.306702
10.0,10,6.785795
9.0,9,7.216649
9.0,9,7.709117
9.0,9,8.984618
9.0,9,9.471469
10.0,10,10.006159
8.0,8,10.434217
10.0,10,10.923704
10.0,10,12.000397
10.0,10,12.564626
9.0,9,13.040292
10.0,10,13.52092
10.0,10,14.005567
9.0,9,14.863672
10.0,10,15.448784
10.0,10,15.965251
9.0,9,16.401023
11.0,11,16.930076
13.0,13,17.866251
16.0,16,18.759738
9.0,9,19.231235
10.0,10,19.719174
22.0,22,21.202357
11.0,11,21.799309
10.0,10,22.290867
19.0,19,23.938306
14.0,14,24.81384
16.0,16,25.64983
16.0,16,26.423677
23.0,23,28.149776
14.0,14,28.826322
56.0,56,32.139028
14.0,14,33.115646
55.0,55,36.401037
81.0,81,40.855718
14.0,14,42.015178
23.0,23,43.184009
54.0,54,46.055019
40.0,40,48.955692
103.0,103,55.31133
31.0,31,57.517782
24.0,24,58.756486
14.0,14,59.43965
13.0,13,60.416749
16.0,16,61.217109
12.0,12,61.805389
42.0,42,64.326792
78.0,78,68.682001
12.0,12,69.279499
103.0,103,75.091436
12.0,12,75.764896
111.0,111,82.026282
97.0,97,87.909868
116.0,116,94.772557
144.0,144,102.501343
168.0,168,112.413484
186.0,186,123.867259
181.0,181,134.015868
200.0,200,144.926341
166.0,166,154.325872
200.0,200,166.107311
200.0,200,177.904293
177.0,177,188.256151
167.0,167,197.967792
200.0,200,209.623754
130.0,130,217.572521
155.0,155,226.447742
171.0,171,236.364477
200.0,200,247.870646
141.0,141,256.044735
200.0,200,268.365441
183.0,183,279.003726
200.0,200,290.434233
121.0,121,297.232129
120.0,120,303.927186
145.0,145,312.503175
140.0,140,320.408205
140.0,140,329.242374
119.0,119,336.602259
157.0,157,345.569032
127.0,127,353.179108
117.0,117,360.675443
109.0,109,367.443321
113.0,113,373.940483
98.0,98,379.862434
101.0,101,385.787061
101.0,101,392.157825
109.0,109,398.864144
103.0,103,405.055994
103.0,103,411.12962
107.0,107,418.478303
103.0,103,424.335272
102.0,102,430.248473
110.0,110,436.798078
116.0,116,443.489253
109.0,109,450.4998
109.0,109,457.152692
112.0,112,463.772493
106.0,106,470.551077
111.0,111,476.706611
109.0,109,483.112351
116.0,116,490.665313
104.0,104,497.179916
99.0,99,502.868257
98.0,98,508.755854
101.0,101,514.588871
107.0,107,520.611851
102.0,102,526.667315
98.0,98,532.612367
94.0,94,538.039568
