#{"t_start": 1532378091.8620825, "env_id": "CartPole-v0"}
r,l,t
21.0,21,4.870496
18.0,18,4.908577
19.0,19,4.954856
15.0,15,4.991359
18.0,18,5.031646
21.0,21,5.073723
14.0,14,5.100922
18.0,18,5.135814
12.0,12,5.158473
25.0,25,5.208213
11.0,11,5.229772
28.0,28,5.284542
26.0,26,5.33563
12.0,12,5.359331
15.0,15,5.389059
17.0,17,5.42246
24.0,24,5.469749
18.0,18,5.504815
13.0,13,5.530077
14.0,14,5.557931
30.0,30,5.616257
14.0,14,5.643686
31.0,31,5.7034
18.0,18,5.738643
14.0,14,5.7665
21.0,21,5.808288
12.0,12,5.831824
11.0,11,5.853173
32.0,32,5.915384
22.0,22,5.958479
14.0,14,5.985656
14.0,14,6.013203
17.0,17,6.046144
19.0,19,6.08343
14.0,14,6.110806
18.0,18,6.146273
30.0,30,7.283695
10.0,10,7.805497
9.0,9,9.101276
9.0,9,9.568837
10.0,10,10.127753
9.0,9,10.580894
10.0,10,11.070582
10.0,10,12.181646
10.0,10,12.727584
10.0,10,13.233682
9.0,9,13.666122
9.0,9,14.103319
10.0,10,15.066087
10.0,10,15.611922
10.0,10,16.112572
10.0,10,16.594109
10.0,10,17.083133
19.0,19,18.379332
13.0,13,19.080048
11.0,11,19.621857
17.0,17,20.817452
13.0,13,21.530125
11.0,11,22.097217
12.0,12,22.677768
29.0,29,25.006907
11.0,11,25.602689
13.0,13,26.230264
15.0,15,27.567195
13.0,13,28.19926
14.0,14,28.87532
14.0,14,29.603019
12.0,12,30.714342
21.0,21,31.75362
15.0,15,32.477165
14.0,14,33.464359
29.0,29,34.87657
55.0,55,38.342781
11.0,11,39.185349
15.0,15,39.932047
106.0,106,45.860583
13.0,13,46.494121
20.0,20,48.36733
11.0,11,48.956442
70.0,70,52.954187
12.0,12,54.224921
102.0,102,60.363969
77.0,77,64.6195
108.0,108,70.471171
125.0,125,77.867715
12.0,12,78.492208
96.0,96,84.144311
111.0,111,90.346926
126.0,126,97.973477
187.0,187,108.321414
173.0,173,118.441334
200.0,200,130.453468
166.0,166,139.406545
200.0,200,150.667656
199.0,199,162.677819
200.0,200,174.466941
168.0,168,183.957996
151.0,151,192.79739
168.0,168,202.860829
146.0,146,211.285252
162.0,162,220.594865
161.0,161,230.103657
155.0,155,239.020415
200.0,200,250.437451
150.0,150,259.344916
198.0,198,271.353717
173.0,173,281.661842
180.0,180,291.598108
119.0,119,298.565766
134.0,134,305.795602
128.0,128,313.438461
140.0,140,321.65299
136.0,136,330.391549
123.0,123,337.502693
134.0,134,345.291988
119.0,119,352.539274
122.0,122,360.184752
119.0,119,367.555042
110.0,110,373.891247
114.0,114,380.604385
98.0,98,386.382121
111.0,111,393.719932
104.0,104,400.12339
97.0,97,406.251995
105.0,105,412.490441
105.0,105,419.121918
109.0,109,425.188942
99.0,99,431.004872
110.0,110,437.494917
114.0,114,444.081636
111.0,111,451.528908
105.0,105,457.663405
110.0,110,464.200068
99.0,99,470.601705
110.0,110,476.707268
119.0,119,483.998656
98.0,98,489.619181
93.0,93,495.776674
107.0,107,501.822335
100.0,100,507.878522
99.0,99,513.685433
114.0,114,520.371406
105.0,105,526.612187
94.0,94,532.32973
106.0,106,538.392045
