#{"t_start": 1532378091.8677385, "env_id": "CartPole-v0"}
r,l,t
24.0,24,4.871483
12.0,12,4.89696
21.0,21,4.947015
24.0,24,5.004142
12.0,12,5.03062
19.0,19,5.068451
26.0,26,5.118611
25.0,25,5.167006
20.0,20,5.207021
38.0,38,5.281163
14.0,14,5.308513
29.0,29,5.365783
21.0,21,5.407151
28.0,28,5.462366
18.0,18,5.497528
16.0,16,5.528801
14.0,14,5.556565
11.0,11,5.578139
21.0,21,5.618835
15.0,15,5.647943
45.0,45,5.735441
12.0,12,5.759093
15.0,15,5.789107
14.0,14,5.816635
10.0,10,5.835947
22.0,22,5.879117
11.0,11,5.900375
28.0,28,5.955062
25.0,25,6.0039
18.0,18,6.038731
20.0,20,6.078127
30.0,30,6.136911
27.0,27,7.020329
10.0,10,7.558511
10.0,10,8.848746
9.0,9,9.367641
9.0,9,9.805341
8.0,8,10.280967
9.0,9,10.722351
10.0,10,11.211274
8.0,8,12.232105
10.0,10,12.776287
9.0,9,13.228348
10.0,10,13.711294
9.0,9,14.146368
9.0,9,15.060869
9.0,9,15.552264
10.0,10,16.058324
8.0,8,16.444812
9.0,9,16.877329
15.0,15,17.937584
13.0,13,18.646114
13.0,13,19.325197
25.0,25,20.925647
13.0,13,21.633754
10.0,10,22.140974
11.0,11,22.672473
35.0,35,25.344943
17.0,17,26.176621
12.0,12,27.366493
15.0,15,28.096722
15.0,15,28.821786
91.0,91,34.146124
51.0,51,37.328033
69.0,69,41.092326
96.0,96,46.537634
17.0,17,48.239328
11.0,11,48.853253
59.0,59,52.317439
14.0,14,52.997523
10.0,10,54.139947
12.0,12,54.814012
13.0,13,55.452862
44.0,44,58.33575
36.0,36,60.462179
13.0,13,61.11399
48.0,48,63.925158
110.0,110,69.873393
114.0,114,76.306928
114.0,114,83.261521
116.0,116,89.737645
115.0,115,96.375759
149.0,149,104.996988
158.0,158,113.732819
171.0,171,124.500449
200.0,200,135.664535
200.0,200,146.839506
200.0,200,158.640989
188.0,188,169.710791
200.0,200,181.217761
124.0,124,188.251535
139.0,139,196.561545
137.0,137,204.759055
154.0,154,213.962014
200.0,200,225.279305
163.0,163,234.889966
200.0,200,246.307006
183.0,183,257.082814
152.0,152,266.445461
200.0,200,277.972991
167.0,167,287.508124
138.0,138,295.505128
131.0,131,302.546806
130.0,130,310.376842
123.0,123,317.040965
125.0,125,324.823096
149.0,149,334.084729
200.0,200,345.67258
136.0,136,354.07642
101.0,101,360.386093
104.0,104,366.883682
110.0,110,373.28212
103.0,103,379.450184
103.0,103,385.486935
105.0,105,392.051833
114.0,114,399.007317
103.0,103,405.201004
93.0,93,410.774875
105.0,105,417.653764
105.0,105,423.516675
104.0,104,429.961861
110.0,110,436.519289
119.0,119,443.384685
108.0,108,450.345899
106.0,106,456.415869
111.0,111,463.339138
107.0,107,470.248146
106.0,106,476.152086
119.0,119,483.058216
104.0,104,489.355725
106.0,106,496.199988
105.0,105,502.582026
93.0,93,507.823754
101.0,101,513.729777
107.0,107,519.997241
96.0,96,525.732265
99.0,99,531.674608
96.0,96,537.140643
