#{"t_start": 1532378091.8549097, "env_id": "CartPole-v0"}
r,l,t
17.0,17,4.869475
14.0,14,4.899052
11.0,11,4.922349
40.0,40,5.01907
21.0,21,5.062925
26.0,26,5.113922
14.0,14,5.141233
20.0,20,5.17973
18.0,18,5.215641
21.0,21,5.25666
13.0,13,5.282052
12.0,12,5.305462
19.0,19,5.34303
13.0,13,5.368678
28.0,28,5.423706
22.0,22,5.467163
12.0,12,5.490547
23.0,23,5.53548
15.0,15,5.565352
14.0,14,5.59285
12.0,12,5.615912
13.0,13,5.641271
20.0,20,5.680073
19.0,19,5.716394
15.0,15,5.746081
56.0,56,5.856594
14.0,14,5.884061
18.0,18,5.918879
16.0,16,5.950304
15.0,15,5.979398
36.0,36,6.049439
40.0,40,6.127896
10.0,10,6.147659
11.0,11,6.218591
12.0,12,6.793884
10.0,10,7.29115
8.0,8,7.71718
10.0,10,9.052596
10.0,10,9.576257
9.0,9,10.07637
9.0,9,10.539579
9.0,9,10.980368
11.0,11,12.133009
9.0,9,12.626723
9.0,9,13.096571
11.0,11,13.625398
9.0,9,14.062295
10.0,10,15.015574
10.0,10,15.564964
8.0,8,15.973317
9.0,9,16.409143
9.0,9,16.842062
11.0,11,17.381879
33.0,33,19.435949
21.0,21,20.824935
12.0,12,21.483275
30.0,30,22.975299
21.0,21,24.918024
12.0,12,25.561234
23.0,23,27.276563
12.0,12,27.866848
23.0,23,28.979425
32.0,32,31.121509
21.0,21,32.147087
16.0,16,33.224454
11.0,11,33.768755
16.0,16,34.545765
48.0,48,37.612787
18.0,18,38.548984
98.0,98,44.162222
46.0,46,46.646994
103.0,103,53.255729
41.0,41,55.952155
89.0,89,61.422211
94.0,94,66.813871
12.0,12,67.413413
11.0,11,67.952009
111.0,111,74.310349
36.0,36,76.220991
108.0,108,82.335692
92.0,92,87.96698
134.0,134,95.752996
134.0,134,103.547169
133.0,133,110.791839
200.0,200,122.605828
195.0,195,134.125118
200.0,200,145.034822
200.0,200,156.665624
200.0,200,168.211286
150.0,150,177.219627
187.0,187,188.065867
200.0,200,200.031865
150.0,150,208.588687
142.0,142,217.132508
177.0,177,227.104838
192.0,192,238.392858
188.0,188,249.258402
151.0,151,258.209614
158.0,158,267.824296
200.0,200,279.356298
200.0,200,290.816406
120.0,120,297.756375
133.0,133,304.949458
132.0,132,312.806934
123.0,123,319.870639
135.0,135,328.359304
154.0,154,337.559411
155.0,155,346.434027
132.0,132,354.770586
103.0,103,361.132452
118.0,118,368.315145
109.0,109,374.593388
114.0,114,381.736278
101.0,101,387.661484
109.0,109,394.529915
111.0,111,401.302716
104.0,104,407.857673
99.0,99,413.659895
98.0,98,419.938921
109.0,109,425.984146
106.0,106,432.140916
111.0,111,439.07738
105.0,105,445.415033
118.0,118,452.630345
112.0,112,459.119998
107.0,107,465.517635
105.0,105,472.652197
99.0,99,478.180763
106.0,106,484.512742
98.0,98,490.673467
102.0,102,497.076864
101.0,101,502.876363
97.0,97,508.714056
100.0,100,514.492213
104.0,104,520.30354
110.0,110,526.83299
97.0,97,532.732546
107.0,107,538.804263
