#{"t_start": 1532378091.8551, "env_id": "CartPole-v0"}
r,l,t
16.0,16,4.867425
41.0,41,4.959722
64.0,64,5.098887
68.0,68,5.231395
16.0,16,5.262694
11.0,11,5.284035
25.0,25,5.333119
32.0,32,5.39646
22.0,22,5.439762
24.0,24,5.486602
20.0,20,5.526199
55.0,55,5.633589
49.0,49,5.72795
23.0,23,5.773947
17.0,17,5.807741
17.0,17,5.841012
26.0,26,5.891828
26.0,26,5.942444
18.0,18,5.977342
20.0,20,6.016613
16.0,16,6.047473
15.0,15,6.077244
34.0,34,6.143769
12.0,12,6.167145
11.0,11,6.698091
9.0,9,7.128955
10.0,10,7.669
10.0,10,8.992907
10.0,10,9.528034
10.0,10,10.076438
9.0,9,10.539624
10.0,10,11.029128
9.0,9,12.07528
10.0,10,12.626813
10.0,10,13.14483
9.0,9,13.577165
8.0,8,13.96525
9.0,9,14.399518
9.0,9,15.348698
9.0,9,15.826064
10.0,10,16.312973
10.0,10,16.793946
9.0,9,17.235903
39.0,39,19.581186
15.0,15,20.586007
13.0,13,21.373712
16.0,16,22.202614
11.0,11,22.733587
20.0,20,24.617627
18.0,18,25.561327
10.0,10,26.043312
15.0,15,27.3794
12.0,12,27.964049
12.0,12,28.544793
12.0,12,29.124544
17.0,17,30.523416
12.0,12,31.121637
13.0,13,31.761013
49.0,49,34.448775
14.0,14,35.126976
51.0,51,38.400271
49.0,49,41.104971
19.0,19,42.550214
11.0,11,43.094613
46.0,46,45.575798
13.0,13,46.209751
13.0,13,46.912407
15.0,15,48.487221
11.0,11,49.061422
15.0,15,49.792303
13.0,13,50.932969
11.0,11,51.542377
55.0,55,54.974799
59.0,59,58.612996
34.0,34,60.622525
13.0,13,61.274511
116.0,116,67.755172
107.0,107,73.538723
113.0,113,80.298851
109.0,109,86.826002
113.0,113,93.152701
199.0,199,104.714363
154.0,154,113.254609
176.0,176,124.265253
143.0,143,132.391433
134.0,134,139.463473
200.0,200,150.726072
200.0,200,162.783988
174.0,174,173.246836
200.0,200,184.434164
200.0,200,196.274873
155.0,155,205.56005
182.0,182,216.06107
200.0,200,227.404194
156.0,156,236.837885
162.0,162,246.088728
135.0,135,253.88349
200.0,200,266.210336
190.0,190,276.962773
200.0,200,288.502038
111.0,111,295.104503
157.0,157,303.639776
132.0,132,311.372329
127.0,127,318.758208
134.0,134,327.099214
136.0,136,335.084932
184.0,184,345.886951
135.0,135,354.305081
107.0,107,360.909066
114.0,114,367.918142
110.0,110,374.248557
103.0,103,380.415069
108.0,108,386.687034
103.0,103,393.618309
109.0,109,400.288315
97.0,97,406.440517
98.0,98,412.285661
109.0,109,419.129383
109.0,109,425.196421
103.0,103,431.208822
112.0,112,437.797157
113.0,113,444.90218
117.0,117,452.087308
109.0,109,458.421436
109.0,109,464.918562
115.0,115,472.526751
104.0,104,478.341009
113.0,113,485.071661
96.0,96,491.118102
106.0,106,497.7291
106.0,106,503.775795
96.0,96,509.571349
95.0,95,515.054972
104.0,104,520.939056
101.0,101,526.932313
100.0,100,532.986975
105.0,105,538.954113
