#{"t_start": 1532378091.8665671, "env_id": "CartPole-v0"}
r,l,t
40.0,40,4.906882
20.0,20,4.956068
14.0,14,4.989651
17.0,17,5.027705
33.0,33,5.093134
12.0,12,5.116107
12.0,12,5.139404
13.0,13,5.164502
25.0,25,5.214116
13.0,13,5.239425
30.0,30,5.29809
26.0,26,5.349419
12.0,12,5.373194
16.0,16,5.404647
34.0,34,5.471331
26.0,26,5.522214
14.0,14,5.549482
15.0,15,5.579488
24.0,24,5.626149
13.0,13,5.65132
33.0,33,5.714554
19.0,19,5.752709
15.0,15,5.782623
12.0,12,5.806341
35.0,35,5.874711
11.0,11,5.895837
14.0,14,5.923259
17.0,17,5.956427
13.0,13,5.981643
12.0,12,6.005269
42.0,42,6.087333
16.0,16,6.118514
25.0,25,6.446551
10.0,10,6.925928
10.0,10,7.457202
9.0,9,8.593199
8.0,8,9.152774
8.0,8,9.565239
11.0,11,10.17884
9.0,9,10.625535
9.0,9,11.066648
10.0,10,12.177882
9.0,9,12.669602
9.0,9,13.133484
11.0,11,13.66217
9.0,9,14.099369
9.0,9,15.004574
8.0,8,15.445659
10.0,10,15.96208
10.0,10,16.446262
10.0,10,16.926951
11.0,11,17.698524
13.0,13,18.484355
17.0,17,19.37586
14.0,14,20.05538
13.0,13,21.091031
28.0,28,22.529027
23.0,23,24.552275
16.0,16,25.399391
9.0,9,25.838561
19.0,19,27.367926
13.0,13,28.001416
12.0,12,28.581856
9.0,9,29.016522
14.0,14,30.217622
12.0,12,30.8585
11.0,11,31.413918
15.0,15,32.135778
58.0,58,35.261027
77.0,77,40.124103
15.0,15,40.852412
13.0,13,41.926816
38.0,38,43.859446
83.0,83,49.099132
16.0,16,49.878567
12.0,12,50.985603
113.0,113,58.00334
33.0,33,59.680327
47.0,47,62.34267
14.0,14,63.480384
14.0,14,64.176103
52.0,52,67.052152
14.0,14,67.743827
123.0,123,74.736291
106.0,106,80.735806
100.0,100,86.814658
101.0,101,92.508913
187.0,187,103.420663
180.0,180,113.340856
200.0,200,125.613056
200.0,200,136.71282
200.0,200,147.896685
200.0,200,159.733528
200.0,200,171.521156
171.0,171,181.437079
194.0,194,192.617282
165.0,165,202.552452
189.0,189,213.859086
200.0,200,225.156051
127.0,127,232.65457
176.0,176,242.903596
143.0,143,250.93322
149.0,149,259.537955
199.0,199,271.597069
200.0,200,283.319507
157.0,157,292.456586
119.0,119,299.012982
147.0,147,307.434551
132.0,132,315.061951
137.0,137,322.860767
138.0,138,331.668509
153.0,153,340.606289
136.0,136,348.864167
141.0,141,357.522516
111.0,111,364.416623
107.0,107,370.812683
119.0,119,377.548043
100.0,100,383.704953
105.0,105,390.482476
108.0,108,397.18406
105.0,105,403.540443
100.0,100,409.470877
100.0,100,416.053024
110.0,110,422.238185
106.0,106,428.36647
104.0,104,434.604791
115.0,115,441.203878
110.0,110,448.582898
117.0,117,455.36608
112.0,112,461.820662
100.0,100,468.487298
104.0,104,474.541308
111.0,111,481.109431
107.0,107,487.596361
114.0,114,494.696945
102.0,102,500.68093
96.0,96,506.538157
108.0,108,512.788816
106.0,106,518.586833
116.0,116,525.733856
102.0,102,531.901893
101.0,101,537.774792
