#{"t_start": 1532378091.86215, "env_id": "CartPole-v0"}
r,l,t
18.0,18,4.864039
33.0,33,4.936739
16.0,16,4.976928
17.0,17,5.016288
18.0,18,5.053473
14.0,14,5.081722
10.0,10,5.10077
30.0,30,5.158322
14.0,14,5.185887
30.0,30,5.245227
18.0,18,5.280458
22.0,22,5.323499
31.0,31,5.384877
18.0,18,5.420312
23.0,23,5.465604
25.0,25,5.514477
15.0,15,5.543818
44.0,44,5.629966
19.0,19,5.666707
17.0,17,5.699467
27.0,27,5.752617
13.0,13,5.778439
13.0,13,5.804204
50.0,50,5.901667
18.0,18,5.936924
18.0,18,5.971836
16.0,16,6.003304
22.0,22,6.045995
41.0,41,6.126365
18.0,18,6.211054
13.0,13,6.834052
10.0,10,7.348547
9.0,9,7.805374
9.0,9,9.101114
9.0,9,9.568737
9.0,9,10.068763
9.0,9,10.532026
9.0,9,10.972847
10.0,10,12.06754
9.0,9,12.565137
8.0,8,12.992566
9.0,9,13.42536
10.0,10,13.909188
9.0,9,14.343726
10.0,10,15.341074
8.0,8,15.769033
9.0,9,16.209048
9.0,9,16.642106
10.0,10,17.131337
26.0,26,18.814743
10.0,10,19.330312
15.0,15,20.059153
17.0,17,21.311607
9.0,9,21.79984
12.0,12,22.387588
37.0,37,25.103091
11.0,11,25.698104
21.0,21,27.321606
15.0,15,28.053374
16.0,16,28.826981
12.0,12,29.455261
29.0,29,31.417647
10.0,10,31.898138
57.0,57,34.973514
49.0,49,38.093413
13.0,13,39.085391
12.0,12,39.682238
102.0,102,45.422901
16.0,16,46.202145
16.0,16,47.082973
13.0,13,48.535179
12.0,12,49.151441
11.0,11,49.687355
13.0,13,50.320534
18.0,18,51.782915
55.0,55,55.213667
12.0,12,55.797429
43.0,43,58.656221
15.0,15,59.391025
12.0,12,60.306165
42.0,42,62.395754
103.0,103,68.238237
15.0,15,69.180533
107.0,107,75.190209
99.0,99,80.841537
96.0,96,86.711483
96.0,96,92.165939
140.0,140,100.119898
200.0,200,111.622328
179.0,179,122.043486
200.0,200,133.864729
170.0,170,143.17484
200.0,200,154.749827
200.0,200,166.361645
152.0,152,175.58823
200.0,200,186.961415
127.0,127,194.212476
155.0,155,203.504747
200.0,200,215.412975
200.0,200,226.747798
200.0,200,238.457715
200.0,200,249.898121
200.0,200,261.96588
178.0,178,272.587664
154.0,154,281.661757
189.0,189,292.460093
124.0,124,299.263774
125.0,125,306.529685
135.0,135,314.039144
149.0,149,322.763209
134.0,134,331.372761
148.0,148,340.066527
134.0,134,348.110348
138.0,138,356.237078
107.0,107,362.709049
113.0,113,370.118282
115.0,115,376.650417
105.0,105,383.006209
107.0,107,389.209135
104.0,104,395.832904
100.0,100,402.000071
97.0,97,408.204429
97.0,97,413.898616
103.0,103,420.426165
105.0,105,426.305759
103.0,103,432.280358
105.0,105,438.862285
113.0,113,445.654853
103.0,103,452.129156
94.0,94,457.713294
101.0,101,463.773027
108.0,108,470.651184
116.0,116,477.054473
114.0,114,484.155305
104.0,104,490.665826
102.0,102,497.069286
100.0,100,502.812945
99.0,99,508.756239
102.0,102,514.640224
106.0,106,520.612494
99.0,99,526.500387
99.0,99,532.500244
108.0,108,538.644853
