#{"t_start": 1532378091.8503199, "env_id": "CartPole-v0"}
r,l,t
16.0,16,4.871912
20.0,20,4.914202
15.0,15,4.9489
25.0,25,5.010132
14.0,14,5.041422
19.0,19,5.079895
26.0,26,5.130007
25.0,25,5.178436
19.0,19,5.216188
9.0,9,5.233994
16.0,16,5.265348
20.0,20,5.304254
15.0,15,5.333655
24.0,24,5.381126
24.0,24,5.42833
25.0,25,5.477687
17.0,17,5.510842
29.0,29,5.567938
28.0,28,5.622451
18.0,18,5.657683
33.0,33,5.72102
21.0,21,5.762746
9.0,9,5.780592
29.0,29,5.837957
31.0,31,5.898399
35.0,35,5.966543
14.0,14,5.99365
20.0,20,6.03281
12.0,12,6.056076
14.0,14,6.083866
68.0,68,7.295836
10.0,10,7.817525
8.0,8,9.057231
9.0,9,9.532657
10.0,10,10.081313
10.0,10,10.592926
9.0,9,11.033662
8.0,8,12.013161
10.0,10,12.577387
10.0,10,13.101186
10.0,10,13.581696
8.0,8,13.969775
9.0,9,14.404054
10.0,10,15.407283
10.0,10,15.928756
9.0,9,16.365579
10.0,10,16.846693
9.0,9,17.288962
10.0,10,18.129076
12.0,12,18.772379
21.0,21,19.828737
21.0,21,21.269455
13.0,13,21.962822
15.0,15,22.689816
20.0,20,24.568099
17.0,17,25.465976
11.0,11,25.999667
18.0,18,27.481775
16.0,16,28.25973
20.0,20,29.226266
15.0,15,30.527935
22.0,22,31.621756
49.0,49,34.308633
15.0,15,35.03515
63.0,63,39.1974
108.0,108,45.240903
13.0,13,45.872616
13.0,13,46.506136
43.0,43,49.553797
14.0,14,50.235314
56.0,56,54.237128
113.0,113,60.929366
105.0,105,66.868642
17.0,17,67.711102
107.0,107,73.494637
106.0,106,79.823524
104.0,104,86.140584
95.0,95,91.219182
118.0,118,98.380393
178.0,178,108.284724
119.0,119,115.072566
200.0,200,127.360859
200.0,200,138.370304
200.0,200,149.625063
183.0,183,160.340199
200.0,200,172.12674
140.0,140,180.287903
176.0,176,190.170104
200.0,200,202.467294
156.0,156,211.396649
145.0,145,219.873507
200.0,200,231.831234
186.0,186,242.539715
200.0,200,253.887818
200.0,200,266.214931
200.0,200,277.737432
200.0,200,289.220755
111.0,111,295.619772
152.0,152,303.890488
140.0,140,312.188032
151.0,151,320.963409
130.0,130,328.992957
148.0,148,337.810997
122.0,122,344.960675
129.0,129,352.748557
118.0,118,360.196905
117.0,117,367.456071
105.0,105,373.552085
112.0,112,380.173304
103.0,103,386.195233
106.0,106,392.88706
111.0,111,400.035069
99.0,99,406.264139
92.0,92,411.142295
105.0,105,418.344499
96.0,96,423.43516
109.0,109,430.14907
112.0,112,436.810834
105.0,105,442.951547
106.0,106,449.786328
122.0,122,457.096466
118.0,118,464.052677
110.0,110,471.013593
102.0,102,476.719295
104.0,104,482.876124
106.0,106,489.272087
101.0,101,495.844431
98.0,98,501.439281
94.0,94,507.197068
106.0,106,513.350567
102.0,102,518.950353
99.0,99,524.988956
103.0,103,531.095927
100.0,100,537.059485
