#{"t_start": 1532378091.86695, "env_id": "CartPole-v0"}
r,l,t
15.0,15,4.853329
10.0,10,4.874494
20.0,20,4.916731
15.0,15,4.955397
22.0,22,5.007307
21.0,21,5.051107
14.0,14,5.079468
17.0,17,5.111484
27.0,27,5.163959
11.0,11,5.185618
30.0,30,5.244842
12.0,12,5.268208
12.0,12,5.291574
27.0,27,5.34495
14.0,14,5.372655
12.0,12,5.396215
20.0,20,5.435843
23.0,23,5.481088
30.0,30,5.539567
24.0,24,5.586841
18.0,18,5.621702
14.0,14,5.648767
14.0,14,5.675873
19.0,19,5.712021
11.0,11,5.734273
15.0,15,5.764223
33.0,33,5.829129
12.0,12,5.852806
22.0,22,5.89531
46.0,46,5.985045
10.0,10,6.004727
30.0,30,6.063332
14.0,14,6.090661
15.0,15,6.119959
13.0,13,6.145646
20.0,20,6.877892
8.0,8,7.279202
10.0,10,7.801111
12.0,12,9.260461
8.0,8,9.660972
10.0,10,10.230348
9.0,9,10.673661
9.0,9,11.114759
9.0,9,12.177228
10.0,10,12.723166
9.0,9,13.181107
10.0,10,13.661635
9.0,9,14.098831
8.0,8,14.93811
9.0,9,15.445001
9.0,9,15.912243
10.0,10,16.397331
8.0,8,16.782064
10.0,10,17.272412
11.0,11,18.165062
17.0,17,19.075603
11.0,11,19.617367
16.0,16,20.745952
12.0,12,21.416744
25.0,25,22.673298
24.0,24,24.76151
16.0,16,25.59824
11.0,11,26.128726
22.0,22,27.806281
11.0,11,28.339954
14.0,14,29.015734
22.0,22,30.660342
18.0,18,31.557235
48.0,48,34.195295
57.0,57,37.699904
55.0,55,40.755457
12.0,12,41.336394
18.0,18,42.736506
44.0,44,45.126864
84.0,84,50.169938
120.0,120,58.051498
50.0,50,60.912862
112.0,112,67.201905
19.0,19,68.135887
104.0,104,74.018973
101.0,101,79.905981
119.0,119,86.965743
90.0,90,92.112049
146.0,146,100.360734
182.0,182,110.679626
200.0,200,122.493956
174.0,174,132.897257
200.0,200,143.868932
193.0,193,155.059383
200.0,200,166.714926
194.0,194,177.900469
200.0,200,189.381301
193.0,193,201.000615
200.0,200,212.509249
200.0,200,224.062914
200.0,200,236.017333
200.0,200,247.523861
160.0,160,257.08366
200.0,200,269.291797
200.0,200,280.922645
158.0,158,289.780898
105.0,105,295.799445
145.0,145,303.726468
138.0,138,311.752847
118.0,118,318.696903
128.0,128,326.112477
151.0,151,335.467333
159.0,159,344.944299
133.0,133,352.929147
108.0,108,359.404213
112.0,112,366.827937
113.0,113,373.3839
107.0,107,379.759273
112.0,112,386.228308
104.0,104,392.821512
114.0,114,400.118907
103.0,103,406.603923
98.0,98,412.43003
102.0,102,418.896171
101.0,101,424.594046
106.0,106,430.743711
107.0,107,437.096872
113.0,113,443.63274
109.0,109,450.644101
109.0,109,457.308395
111.0,111,463.876221
111.0,111,470.898002
106.0,106,476.802327
108.0,108,483.157898
101.0,101,489.306211
110.0,110,496.70074
99.0,99,502.391824
108.0,108,508.851274
106.0,106,514.943048
104.0,104,520.827582
99.0,99,526.719095
105.0,105,533.024966
97.0,97,538.590177
