#{"t_start": 1532378091.850661, "env_id": "CartPole-v0"}
r,l,t
46.0,46,4.934862
24.0,24,4.995831
37.0,37,5.075529
9.0,9,5.093467
19.0,19,5.129544
21.0,21,5.170052
21.0,21,5.211628
15.0,15,5.241287
21.0,21,5.282301
15.0,15,5.311648
17.0,17,5.345098
31.0,31,5.406546
21.0,21,5.447888
12.0,12,5.471335
24.0,24,5.518255
13.0,13,5.543674
11.0,11,5.564992
41.0,41,5.645444
12.0,12,5.668776
16.0,16,5.699738
27.0,27,5.752268
13.0,13,5.778017
14.0,14,5.805906
17.0,17,5.839465
9.0,9,5.856856
12.0,12,5.880407
41.0,41,5.960253
18.0,18,5.995191
42.0,42,6.077431
15.0,15,6.106672
15.0,15,6.135918
14.0,14,6.163653
16.0,16,6.750313
8.0,8,7.132897
10.0,10,7.673111
9.0,9,8.932208
10.0,10,9.483731
10.0,10,10.018341
10.0,10,10.543751
10.0,10,11.033201
10.0,10,12.13717
9.0,9,12.630884
9.0,9,13.100629
8.0,8,13.485103
11.0,11,14.017733
8.0,8,14.403583
10.0,10,15.406749
8.0,8,15.830209
9.0,9,16.269148
11.0,11,16.798055
11.0,11,17.337171
16.0,16,18.499807
16.0,16,19.342005
10.0,10,19.828291
14.0,14,20.887189
14.0,14,21.650531
15.0,15,22.39931
23.0,23,24.403229
25.0,25,25.709852
18.0,18,26.581638
22.0,22,28.259104
23.0,23,29.416576
12.0,12,30.527481
12.0,12,31.12567
14.0,14,31.813484
15.0,15,32.536638
12.0,12,33.426131
68.0,68,37.453677
61.0,61,40.819771
58.0,58,44.166389
22.0,22,45.483049
20.0,20,46.456717
62.0,62,50.936944
16.0,16,51.794655
48.0,48,54.880386
14.0,14,55.566693
17.0,17,56.400044
15.0,15,57.822669
42.0,42,60.256878
47.0,47,62.602988
12.0,12,63.644189
91.0,91,68.640232
112.0,112,74.902047
13.0,13,75.578578
102.0,102,81.396272
104.0,104,87.678918
115.0,115,94.19676
138.0,138,101.926619
171.0,171,111.968224
200.0,200,124.168326
183.0,183,134.381802
200.0,200,145.286484
200.0,200,156.925501
200.0,200,168.462757
142.0,142,177.076852
167.0,167,186.391602
141.0,141,194.763351
138.0,138,203.219406
148.0,148,211.743274
163.0,163,221.098347
200.0,200,233.062862
158.0,158,242.197352
137.0,137,249.90982
200.0,200,261.977466
144.0,144,270.628726
152.0,152,279.360468
197.0,197,290.671203
122.0,122,297.489793
129.0,129,304.698013
135.0,135,312.712823
137.0,137,320.701074
150.0,150,330.149038
120.0,120,337.218616
146.0,146,345.637428
128.0,128,353.290068
109.0,109,360.340501
115.0,115,367.455598
103.0,103,373.450591
103.0,103,379.624092
97.0,97,385.355968
104.0,104,391.864676
92.0,92,397.682849
113.0,113,404.414344
101.0,101,410.391708
106.0,106,417.324045
109.0,109,423.385221
107.0,107,429.978617
101.0,101,436.034488
116.0,116,442.801058
102.0,102,449.390975
107.0,107,455.581813
108.0,108,461.836019
111.0,111,469.051459
102.0,102,475.129088
108.0,108,481.493171
100.0,100,487.5561
101.0,101,493.837446
99.0,99,499.846503
105.0,105,506.14945
106.0,106,512.310393
94.0,94,517.513251
102.0,102,523.638986
99.0,99,529.580581
96.0,96,535.305722
102.0,102,541.026443
