#{"t_start": 1532378091.85544, "env_id": "CartPole-v0"}
r,l,t
11.0,11,4.856194
29.0,29,4.917612
16.0,16,4.956662
11.0,11,4.984045
12.0,12,5.012254
18.0,18,5.050843
15.0,15,5.080709
44.0,44,5.165512
12.0,12,5.189053
19.0,19,5.226946
12.0,12,5.250345
20.0,20,5.289418
18.0,18,5.324597
14.0,14,5.352516
13.0,13,5.378038
24.0,24,5.425266
13.0,13,5.451206
17.0,17,5.484093
21.0,21,5.525449
36.0,36,5.596239
15.0,15,5.625103
52.0,52,5.725451
15.0,15,5.755597
14.0,14,5.78343
56.0,56,5.893307
61.0,61,6.012292
13.0,13,6.037297
17.0,17,6.070717
12.0,12,6.094361
15.0,15,6.123532
42.0,42,7.1285
10.0,10,7.668555
9.0,9,8.927818
9.0,9,9.430434
10.0,10,9.947805
9.0,9,10.441802
9.0,9,10.882595
9.0,9,11.839581
9.0,9,12.408924
10.0,10,12.949223
10.0,10,13.432417
10.0,10,13.916281
10.0,10,14.3991
8.0,8,15.294073
9.0,9,15.776141
9.0,9,16.216141
9.0,9,16.649203
9.0,9,17.090066
13.0,13,18.071309
17.0,17,18.982612
10.0,10,19.484136
29.0,29,21.318818
11.0,11,21.908315
13.0,13,22.539829
33.0,33,25.061972
16.0,16,25.897777
22.0,22,27.574396
15.0,15,28.303134
15.0,15,29.027224
29.0,29,31.01703
50.0,50,33.768305
47.0,47,36.679364
11.0,11,37.28535
11.0,11,37.856978
17.0,17,39.039794
19.0,19,39.988861
102.0,102,45.721597
14.0,14,46.403742
21.0,21,48.314788
40.0,40,50.327729
16.0,16,51.690939
109.0,109,58.512035
121.0,121,65.262516
106.0,106,71.253127
106.0,106,77.435943
89.0,89,82.237591
16.0,16,83.606914
108.0,108,89.648824
126.0,126,96.826762
152.0,152,105.596795
153.0,153,114.348632
200.0,200,126.648677
200.0,200,137.634516
200.0,200,148.824834
179.0,179,159.413498
200.0,200,171.236686
133.0,133,179.058434
200.0,200,190.116196
137.0,137,198.269822
198.0,198,209.829218
152.0,152,218.854481
130.0,130,226.505213
200.0,200,238.195045
200.0,200,249.658775
200.0,200,261.715591
173.0,173,272.087678
176.0,176,282.26091
200.0,200,293.748778
133.0,133,301.123786
158.0,158,310.339407
136.0,136,318.147908
140.0,140,326.172916
150.0,150,335.478767
175.0,175,345.836244
128.0,128,353.536491
104.0,104,360.268477
105.0,105,366.839396
103.0,103,372.851355
119.0,119,379.870041
91.0,91,385.302234
108.0,108,392.012401
111.0,111,398.822254
104.0,104,405.063551
96.0,96,410.787155
107.0,107,417.76494
104.0,104,423.972139
110.0,110,430.368374
108.0,108,436.805748
106.0,106,442.996382
103.0,103,449.669124
99.0,99,455.426718
114.0,114,461.979498
109.0,109,469.096896
100.0,100,474.947954
107.0,107,481.373603
101.0,101,487.496436
99.0,99,493.674813
102.0,102,499.842018
100.0,100,505.889361
96.0,96,511.506921
104.0,104,517.260674
105.0,105,523.535635
93.0,93,529.157025
96.0,96,534.816155
100.0,100,540.464001
