#{"t_start": 1532378091.8641407, "env_id": "CartPole-v0"}
r,l,t
14.0,14,4.853583
25.0,25,4.906511
18.0,18,4.950294
12.0,12,4.979884
14.0,14,5.01207
11.0,11,5.036074
16.0,16,5.067906
29.0,29,5.124029
46.0,46,5.214242
10.0,10,5.233579
34.0,34,5.300145
17.0,17,5.333615
14.0,14,5.361352
15.0,15,5.391014
19.0,19,5.428341
16.0,16,5.459833
15.0,15,5.489371
21.0,21,5.530156
12.0,12,5.553895
23.0,23,5.598851
11.0,11,5.620182
12.0,12,5.643635
17.0,17,5.676487
25.0,25,5.724527
11.0,11,5.746637
65.0,65,5.874712
18.0,18,5.909534
15.0,15,5.938885
15.0,15,5.967929
12.0,12,5.991537
24.0,24,6.038038
47.0,47,6.130396
20.0,20,6.448434
8.0,8,6.832159
9.0,9,7.281653
9.0,9,7.75558
10.0,10,9.099258
11.0,11,9.663284
8.0,8,10.125706
11.0,11,10.676054
10.0,10,11.165957
8.0,8,12.179629
9.0,9,12.671464
9.0,9,13.135402
9.0,9,13.567621
10.0,10,14.052885
11.0,11,15.064073
8.0,8,15.501621
10.0,10,16.01273
8.0,8,16.399649
10.0,10,16.880655
10.0,10,17.372419
14.0,14,18.431472
18.0,18,19.377661
14.0,14,20.057258
15.0,15,21.201007
11.0,11,21.798053
13.0,13,22.434103
27.0,27,24.662079
20.0,20,25.69617
10.0,10,26.179696
12.0,12,27.369626
13.0,13,28.003147
14.0,14,28.680385
68.0,68,32.571344
16.0,16,33.660403
18.0,18,34.536426
43.0,43,37.331236
12.0,12,37.945325
91.0,91,43.280025
58.0,58,46.346239
17.0,17,47.937889
13.0,13,48.753052
13.0,13,49.393531
19.0,19,50.318534
15.0,15,51.632313
61.0,61,55.359012
28.0,28,57.417342
97.0,97,62.589331
12.0,12,63.630516
71.0,71,67.454066
13.0,13,68.089681
14.0,14,68.979081
111.0,111,75.188238
98.0,98,80.788554
14.0,14,81.535381
105.0,105,87.860169
108.0,108,94.024136
152.0,152,102.451056
166.0,166,112.26396
200.0,200,124.453768
200.0,200,135.617439
177.0,177,145.272801
185.0,185,156.144871
200.0,200,167.705737
200.0,200,179.688044
167.0,167,189.040196
200.0,200,201.002898
143.0,143,209.225179
143.0,143,217.816128
200.0,200,229.506142
200.0,200,241.180412
153.0,153,249.749121
157.0,157,258.997469
163.0,163,269.23477
200.0,200,280.868567
200.0,200,292.189489
130.0,130,299.359744
135.0,135,307.184611
115.0,115,313.641188
143.0,143,321.997408
158.0,158,331.870639
146.0,146,340.459721
147.0,147,349.307774
140.0,140,357.885273
120.0,120,365.276708
123.0,123,372.730481
109.0,109,379.256293
101.0,101,385.192512
99.0,99,391.44359
105.0,105,397.948344
102.0,102,404.098366
92.0,92,409.623189
102.0,102,416.334266
101.0,101,422.042873
108.0,108,428.267019
104.0,104,434.506019
100.0,100,440.332815
105.0,105,446.639964
108.0,108,453.423417
108.0,108,460.022132
104.0,104,466.742009
95.0,95,472.517236
107.0,107,478.48326
112.0,112,485.17335
99.0,99,491.363449
98.0,98,497.565107
107.0,107,503.667479
102.0,102,509.76454
96.0,96,515.293555
108.0,108,521.440564
100.0,100,527.319113
97.0,97,533.23115
103.0,103,539.093964
