#{"t_start": 1532378051.834575, "env_id": "CartPole-v0"}
r,l,t
16.0,16,3.225008
20.0,20,3.267808
15.0,15,3.299792
25.0,25,3.355515
14.0,14,3.385623
19.0,19,3.423776
26.0,26,3.475309
25.0,25,3.525008
19.0,19,3.56263
9.0,9,3.579913
16.0,16,3.611393
20.0,20,3.651869
15.0,15,3.681097
24.0,24,3.728265
24.0,24,3.776274
25.0,25,3.825369
17.0,17,3.859549
29.0,29,3.917304
28.0,28,3.972477
18.0,18,4.008011
33.0,33,4.072622
21.0,21,4.11431
9.0,9,4.132038
29.0,29,4.189198
31.0,31,4.249533
35.0,35,4.317944
14.0,14,4.345092
20.0,20,4.384109
12.0,12,4.407364
14.0,14,4.434493
83.0,83,6.711611
16.0,16,7.523957
8.0,8,7.923476
18.0,18,8.826402
12.0,12,9.627146
10.0,10,10.153155
9.0,9,10.616764
8.0,8,11.02948
9.0,9,11.530985
16.0,16,12.447305
10.0,10,12.951857
26.0,26,14.250791
20.0,20,15.323375
19.0,19,16.269341
12.0,12,16.867845
16.0,16,17.809064
19.0,19,18.759943
14.0,14,19.45663
11.0,11,20.092325
17.0,17,20.936651
12.0,12,21.530066
20.0,20,22.637452
19.0,19,23.628199
17.0,17,24.503949
29.0,29,26.034665
29.0,29,27.481526
27.0,27,28.916366
13.0,13,29.562612
25.0,25,30.914967
17.0,17,31.763087
18.0,18,32.660142
21.0,21,33.805295
13.0,13,34.452517
23.0,23,35.677322
23.0,23,36.857798
11.0,11,37.408434
18.0,18,38.415405
24.0,24,39.616319
12.0,12,40.281658
30.0,30,42.051891
17.0,17,42.917975
58.0,58,46.029935
99.0,99,51.175779
109.0,109,57.215213
25.0,25,58.466264
104.0,104,64.149096
14.0,14,64.980253
38.0,38,66.917785
200.0,200,77.5869
20.0,20,78.671278
185.0,185,88.477777
200.0,200,99.142871
200.0,200,110.045444
38.0,38,112.120011
200.0,200,122.901276
56.0,56,125.942206
27.0,27,127.430909
200.0,200,138.000105
136.0,136,145.283068
200.0,200,156.383673
19.0,19,157.36891
200.0,200,168.395396
200.0,200,178.834901
200.0,200,189.538171
200.0,200,200.253402
124.0,124,206.804794
200.0,200,217.341852
200.0,200,228.070765
125.0,125,235.268313
31.0,31,236.911368
200.0,200,247.59908
200.0,200,258.322042
200.0,200,269.464229
200.0,200,280.415481
200.0,200,291.668236
71.0,71,295.484403
200.0,200,306.768125
67.0,67,310.300903
200.0,200,321.247404
156.0,156,329.997994
109.0,109,336.210151
200.0,200,347.423151
200.0,200,358.359888
200.0,200,369.39531
200.0,200,380.798859
200.0,200,391.820094
200.0,200,402.85541
198.0,198,413.807308
186.0,186,424.320833
200.0,200,435.458703
200.0,200,446.769999
200.0,200,458.135014
59.0,59,461.595559
200.0,200,472.594543
17.0,17,473.567312
132.0,132,480.578917
200.0,200,491.433769
200.0,200,502.491583
200.0,200,514.03738
200.0,200,525.113611
200.0,200,536.778006
200.0,200,547.540352
141.0,141,555.547424
193.0,193,565.840151
195.0,195,576.479509
