#{"t_start": 1532378051.8150957, "env_id": "CartPole-v0"}
r,l,t
31.0,31,3.276273
41.0,41,3.365275
11.0,11,3.390199
13.0,13,3.416689
10.0,10,3.436954
24.0,24,3.48472
18.0,18,3.520221
17.0,17,3.553914
18.0,18,3.589442
15.0,15,3.618633
15.0,15,3.649207
17.0,17,3.682919
10.0,10,3.702291
17.0,17,3.735812
15.0,15,3.765812
23.0,23,3.811106
35.0,35,3.880769
15.0,15,3.910373
39.0,39,3.987695
16.0,16,4.019425
14.0,14,4.046615
49.0,49,4.143274
32.0,32,4.20649
20.0,20,4.245628
32.0,32,4.308143
33.0,33,4.372113
26.0,26,4.422581
23.0,23,4.467397
41.0,41,4.692154
12.0,12,5.281133
21.0,21,6.604557
10.0,10,7.135522
14.0,14,7.843054
12.0,12,8.442409
14.0,14,9.261842
8.0,8,9.763283
10.0,10,10.276969
10.0,10,10.793123
11.0,11,11.398935
13.0,13,12.159697
22.0,22,13.272079
27.0,27,14.692534
15.0,15,15.441881
12.0,12,16.039286
18.0,18,16.936505
25.0,25,18.328449
11.0,11,18.878591
17.0,17,19.802703
22.0,22,20.905711
15.0,15,21.647952
14.0,14,22.454947
29.0,29,23.96384
12.0,12,24.57424
21.0,21,25.704002
25.0,25,26.953341
13.0,13,27.672721
22.0,22,28.762895
28.0,28,30.286376
27.0,27,31.632059
17.0,17,32.479064
24.0,24,33.774828
26.0,26,35.071361
22.0,22,36.245451
13.0,13,36.928374
10.0,10,37.427581
22.0,22,38.634924
16.0,16,39.434384
10.0,10,39.994758
18.0,18,41.129874
15.0,15,41.917914
34.0,34,43.788444
24.0,24,45.041721
13.0,13,45.698285
36.0,36,47.57119
30.0,30,49.140275
80.0,80,53.36461
88.0,88,58.185273
16.0,16,59.046586
112.0,112,65.218308
40.0,40,67.237395
180.0,180,76.896961
199.0,199,87.488125
62.0,62,90.71434
45.0,45,93.208052
41.0,41,95.384224
44.0,44,97.739525
200.0,200,108.555124
200.0,200,119.487026
200.0,200,130.14042
200.0,200,140.707272
200.0,200,151.633823
200.0,200,162.660409
15.0,15,163.475231
200.0,200,174.239169
19.0,19,175.194256
200.0,200,185.799827
105.0,105,191.473037
200.0,200,202.138266
200.0,200,212.707308
200.0,200,223.334541
24.0,24,224.555747
200.0,200,235.849849
200.0,200,246.544624
200.0,200,257.268391
200.0,200,268.410758
93.0,93,273.439282
200.0,200,284.723314
200.0,200,295.554246
200.0,200,306.839768
155.0,155,315.07734
200.0,200,326.15763
200.0,200,337.511365
200.0,200,348.725891
200.0,200,359.648375
57.0,57,362.706458
200.0,200,374.103614
195.0,195,385.011619
200.0,200,395.834061
200.0,200,407.223679
200.0,200,418.188654
200.0,200,429.297395
200.0,200,440.458082
200.0,200,451.840382
200.0,200,463.455225
166.0,166,472.562237
200.0,200,483.315333
200.0,200,494.2673
200.0,200,505.486287
200.0,200,516.728708
175.0,175,526.550039
129.0,129,534.290323
200.0,200,545.150426
19.0,19,546.191712
200.0,200,557.292922
200.0,200,567.967039
187.0,187,578.242159
