#{"t_start": 1532378051.8532174, "env_id": "CartPole-v0"}
r,l,t
17.0,17,3.208868
15.0,15,3.240839
9.0,9,3.260375
18.0,18,3.298212
14.0,14,3.330096
18.0,18,3.369289
12.0,12,3.393237
25.0,25,3.443098
12.0,12,3.46673
19.0,19,3.504652
66.0,66,3.635364
42.0,42,3.71824
20.0,20,3.7577
24.0,24,3.804942
18.0,18,3.841031
26.0,26,3.892452
23.0,23,3.938443
15.0,15,3.967775
24.0,24,4.014883
11.0,11,4.036405
14.0,14,4.063986
28.0,28,4.119554
16.0,16,4.151106
24.0,24,4.198115
18.0,18,4.233124
15.0,15,4.262161
11.0,11,4.283906
28.0,28,4.338395
26.0,26,4.388861
15.0,15,4.41809
10.0,10,4.437638
15.0,15,4.467004
36.0,36,5.341455
11.0,11,5.880928
11.0,11,6.744123
15.0,15,7.505565
12.0,12,8.105045
11.0,11,8.655668
10.0,10,9.292598
14.0,14,10.084093
8.0,8,10.495658
9.0,9,10.960781
12.0,12,11.613798
10.0,10,12.228097
20.0,20,13.234567
14.0,14,13.933636
14.0,14,14.704644
20.0,20,15.703014
12.0,12,16.300958
15.0,15,17.120444
17.0,17,18.040562
13.0,13,18.691881
18.0,18,19.591188
10.0,10,20.172777
19.0,19,21.116946
16.0,16,21.90743
17.0,17,22.868149
15.0,15,23.668728
14.0,14,24.383924
17.0,17,25.31681
13.0,13,25.966259
15.0,15,26.715506
13.0,13,27.364043
62.0,62,30.648108
14.0,14,31.345173
15.0,15,32.093055
26.0,26,33.487918
12.0,12,34.084943
29.0,29,35.608886
23.0,23,36.788743
15.0,15,37.542122
15.0,15,38.397187
13.0,13,39.046036
11.0,11,39.59796
20.0,20,40.819713
21.0,21,41.981848
21.0,21,43.052237
40.0,40,45.25981
20.0,20,46.335217
18.0,18,47.234534
15.0,15,47.981698
102.0,102,53.379023
97.0,97,58.648551
130.0,130,65.790445
64.0,64,69.075724
22.0,22,70.302854
200.0,200,80.985163
200.0,200,91.666233
200.0,200,102.365335
200.0,200,113.250431
155.0,155,121.66765
200.0,200,132.309752
88.0,88,136.883033
200.0,200,147.766091
200.0,200,158.672185
18.0,18,159.816861
200.0,200,170.700182
47.0,47,173.185189
200.0,200,183.766393
132.0,132,190.745016
200.0,200,201.403304
200.0,200,211.981185
200.0,200,222.605844
200.0,200,233.611384
87.0,87,238.550011
48.0,48,241.078993
118.0,118,247.377873
200.0,200,258.099182
200.0,200,269.244414
200.0,200,280.178147
200.0,200,291.445265
25.0,25,292.805816
35.0,35,294.706873
200.0,200,305.912251
200.0,200,316.596917
200.0,200,327.872526
124.0,124,334.603966
200.0,200,345.733951
200.0,200,356.929638
200.0,200,368.054279
83.0,83,372.989525
128.0,128,380.080605
91.0,91,385.129059
192.0,192,395.544711
93.0,93,400.677605
200.0,200,411.978126
200.0,200,423.23107
200.0,200,434.416436
175.0,175,444.106442
200.0,200,455.131833
176.0,176,465.664143
200.0,200,476.490581
200.0,200,487.293541
155.0,155,495.820157
200.0,200,507.401963
114.0,114,513.609481
200.0,200,524.671787
167.0,167,534.597147
200.0,200,545.443913
200.0,200,556.53614
200.0,200,567.208465
165.0,165,576.194002
