#{"t_start": 1532378051.8180978, "env_id": "CartPole-v0"}
r,l,t
14.0,14,3.236941
25.0,25,3.290497
18.0,18,3.328605
12.0,12,3.355089
14.0,14,3.387286
11.0,11,3.409928
16.0,16,3.442231
29.0,29,3.49935
46.0,46,3.59044
10.0,10,3.609944
34.0,34,3.678012
17.0,17,3.711219
14.0,14,3.738832
15.0,15,3.768904
19.0,19,3.806201
16.0,16,3.837727
15.0,15,3.868031
21.0,21,3.909503
12.0,12,3.933515
23.0,23,3.978932
11.0,11,4.000536
12.0,12,4.024312
17.0,17,4.057698
25.0,25,4.106613
11.0,11,4.128533
65.0,65,4.25628
18.0,18,4.291165
15.0,15,4.320681
15.0,15,4.349745
12.0,12,4.373164
24.0,24,4.419638
47.0,47,4.511398
20.0,20,4.835842
14.0,14,5.522652
10.0,10,6.01439
14.0,14,7.031394
22.0,22,8.139527
11.0,11,8.690068
10.0,10,9.327106
13.0,13,10.067514
10.0,10,10.581153
10.0,10,11.095789
23.0,23,12.413411
20.0,20,13.4192
15.0,15,14.167438
38.0,38,16.135593
14.0,14,16.834253
22.0,22,18.07524
16.0,16,18.875714
12.0,12,19.4728
50.0,50,22.040574
16.0,16,22.952579
11.0,11,23.495934
18.0,18,24.469104
25.0,25,25.800935
17.0,17,26.649974
16.0,16,27.448095
19.0,19,28.462318
13.0,13,29.131552
31.0,31,30.781909
27.0,27,32.127566
22.0,22,33.322276
49.0,49,35.843193
14.0,14,36.566743
18.0,18,37.47664
19.0,19,38.531596
13.0,13,39.180723
11.0,11,39.776757
14.0,14,40.501133
17.0,17,41.603276
23.0,23,42.779819
22.0,22,44.041237
27.0,27,45.444619
105.0,105,50.885889
104.0,104,56.592583
25.0,25,57.93035
103.0,103,63.558558
200.0,200,74.237592
200.0,200,84.797779
186.0,186,94.831212
191.0,191,105.058455
200.0,200,115.892785
136.0,136,123.22186
86.0,86,127.902224
200.0,200,138.476721
163.0,163,147.342283
195.0,195,157.994436
200.0,200,169.030608
200.0,200,179.454725
119.0,119,185.922779
186.0,186,195.883188
23.0,23,197.122719
151.0,151,205.131988
176.0,176,214.335717
92.0,92,219.223387
200.0,200,230.238343
200.0,200,241.163505
135.0,135,248.419014
149.0,149,256.438793
167.0,167,265.469366
151.0,151,273.908631
200.0,200,285.175875
79.0,79,289.623703
200.0,200,300.755758
200.0,200,311.511241
200.0,200,322.643737
190.0,190,333.017641
200.0,200,344.001289
46.0,46,346.584028
200.0,200,357.783234
200.0,200,368.908436
149.0,149,377.59227
181.0,181,387.704071
90.0,90,392.50574
200.0,200,403.555373
190.0,190,414.127315
200.0,200,425.449197
164.0,164,434.605562
55.0,55,437.550539
200.0,200,448.858459
37.0,37,450.947464
200.0,200,462.524424
200.0,200,473.531962
200.0,200,484.303676
200.0,200,495.283358
200.0,200,506.826884
200.0,200,517.745747
200.0,200,529.251258
44.0,44,532.006184
200.0,200,542.941136
200.0,200,553.964844
200.0,200,564.677656
200.0,200,575.528112
