#{"t_start": 1532378051.8414638, "env_id": "CartPole-v0"}
r,l,t
24.0,24,3.235328
12.0,12,3.261109
21.0,21,3.305703
24.0,24,3.360199
12.0,12,3.384833
19.0,19,3.423094
26.0,26,3.474193
25.0,25,3.523932
20.0,20,3.563371
38.0,38,3.639231
14.0,14,3.666626
29.0,29,3.723512
21.0,21,3.765513
28.0,28,3.820421
18.0,18,3.856702
16.0,16,3.88837
14.0,14,3.916244
11.0,11,3.938268
21.0,21,3.979388
15.0,15,4.009063
45.0,45,4.097744
12.0,12,4.121136
15.0,15,4.150929
14.0,14,4.178442
10.0,10,4.197924
22.0,22,4.240782
11.0,11,4.262152
28.0,28,4.316869
25.0,25,4.365663
18.0,18,4.400475
20.0,20,4.439366
30.0,30,4.498132
19.0,19,5.009882
11.0,11,5.548914
25.0,25,7.109722
11.0,11,7.667652
9.0,9,8.116602
8.0,8,8.516594
9.0,9,8.970472
20.0,20,10.199075
8.0,8,10.610101
12.0,12,11.268145
15.0,15,12.133801
19.0,19,13.096471
23.0,23,14.243971
22.0,22,15.415826
14.0,14,16.112576
10.0,10,16.611378
17.0,17,17.595343
17.0,17,18.453267
18.0,18,19.350406
20.0,20,20.433442
11.0,11,20.979777
26.0,26,22.37762
20.0,20,23.374409
11.0,11,23.989346
33.0,33,25.727952
22.0,22,26.827107
17.0,17,27.746463
14.0,14,28.439426
20.0,20,29.456182
15.0,15,30.310545
15.0,15,31.05803
15.0,15,31.806252
16.0,16,32.603136
13.0,13,33.34913
86.0,86,37.754043
33.0,33,39.509212
16.0,16,40.377851
15.0,15,41.374294
11.0,11,41.942543
18.0,18,42.860953
21.0,21,44.070637
39.0,39,46.145614
96.0,96,51.066527
47.0,47,53.591267
98.0,98,58.961189
107.0,107,64.749389
200.0,200,75.432535
63.0,63,78.817309
200.0,200,89.474072
200.0,200,100.124529
45.0,45,102.612804
200.0,200,113.464795
200.0,200,124.361511
92.0,92,129.143951
200.0,200,139.71952
77.0,77,143.873517
200.0,200,155.014703
126.0,126,161.903598
200.0,200,172.707453
200.0,200,183.262287
80.0,80,187.534003
68.0,68,191.113091
200.0,200,201.769431
200.0,200,212.347712
200.0,200,222.975334
36.0,36,224.910507
131.0,131,232.292783
23.0,23,233.469265
200.0,200,244.407101
105.0,105,249.975518
200.0,200,260.770397
200.0,200,271.903087
153.0,153,280.304529
39.0,39,282.807135
200.0,200,293.63433
200.0,200,304.844845
200.0,200,315.566891
200.0,200,326.647238
198.0,198,337.893149
163.0,163,346.663495
163.0,163,355.968831
157.0,157,364.537169
35.0,35,366.6656
108.0,108,372.898249
200.0,200,384.054873
200.0,200,394.899319
200.0,200,406.255505
200.0,200,417.250644
200.0,200,428.342035
70.0,70,432.342298
60.0,60,435.65696
200.0,200,446.968062
197.0,197,458.18363
200.0,200,469.443838
200.0,200,480.188368
200.0,200,491.067012
200.0,200,502.058073
200.0,200,513.672582
200.0,200,524.735604
160.0,160,534.213382
200.0,200,545.073652
200.0,200,556.158105
200.0,200,566.804861
145.0,145,574.519846
