#{"t_start": 1532378051.8570015, "env_id": "CartPole-v0"}
r,l,t
10.0,10,3.190144
22.0,22,3.237091
18.0,18,3.275634
36.0,36,3.354765
27.0,27,3.409656
27.0,27,3.462984
14.0,14,3.49092
26.0,26,3.542326
37.0,37,3.615975
38.0,38,3.690435
17.0,17,3.724352
24.0,24,3.771638
45.0,45,3.860937
28.0,28,3.916998
14.0,14,3.944231
15.0,15,3.973858
20.0,20,4.013385
45.0,45,4.101852
14.0,14,4.129673
15.0,15,4.159165
13.0,13,4.184572
32.0,32,4.246839
40.0,40,4.324869
14.0,14,4.352354
16.0,16,4.383204
12.0,12,4.406465
12.0,12,4.430026
29.0,29,4.486657
19.0,19,5.092636
10.0,10,5.582851
16.0,16,6.689606
12.0,12,7.298862
27.0,27,8.651902
10.0,10,9.289132
17.0,17,10.235751
9.0,9,10.69903
13.0,13,11.407812
15.0,15,12.274921
20.0,20,13.281704
16.0,16,14.079151
15.0,15,14.90167
16.0,16,15.699264
18.0,18,16.596046
12.0,12,17.266929
14.0,14,18.036808
15.0,15,18.787137
12.0,12,19.38421
16.0,16,20.269217
13.0,13,20.914644
15.0,15,21.656453
34.0,34,23.457878
18.0,18,24.430762
18.0,18,25.412937
18.0,18,26.312462
37.0,37,28.226306
15.0,15,28.994391
12.0,12,29.590381
16.0,16,30.494601
18.0,18,31.391388
12.0,12,31.990245
19.0,19,33.033656
19.0,19,33.981426
11.0,11,34.531359
20.0,20,35.605171
19.0,19,36.581774
14.0,14,37.286286
22.0,22,38.493638
11.0,11,39.042349
18.0,18,40.005097
11.0,11,40.680601
15.0,15,41.56504
15.0,15,42.336332
17.0,17,43.200753
35.0,35,45.155622
31.0,31,46.781517
57.0,57,49.697647
46.0,46,52.200345
90.0,90,57.143589
21.0,21,58.194599
111.0,111,64.227662
35.0,35,66.140161
200.0,200,76.80475
194.0,194,87.142469
200.0,200,97.798203
200.0,200,108.626235
41.0,41,110.931053
200.0,200,121.714821
200.0,200,132.356397
200.0,200,143.000414
60.0,60,146.315341
80.0,80,150.640116
73.0,73,154.772028
42.0,42,157.042972
200.0,200,168.061122
89.0,89,172.742789
200.0,200,183.322491
177.0,177,192.699333
183.0,183,202.497723
200.0,200,213.073891
200.0,200,223.699864
200.0,200,234.928788
75.0,75,238.952504
122.0,122,245.525509
200.0,200,256.24689
122.0,122,262.780058
200.0,200,273.921507
200.0,200,285.18857
200.0,200,296.018762
200.0,200,307.313506
200.0,200,317.965392
117.0,117,324.574
200.0,200,335.628903
200.0,200,346.699156
200.0,200,357.897115
200.0,200,369.022841
200.0,200,380.487035
200.0,200,391.487121
200.0,200,402.320451
188.0,188,412.999521
200.0,200,424.298776
46.0,46,426.80491
200.0,200,437.917856
200.0,200,449.280758
200.0,200,460.905009
200.0,200,471.901929
200.0,200,482.660206
200.0,200,493.578022
200.0,200,504.837618
200.0,200,516.078176
196.0,196,526.97087
200.0,200,538.666437
200.0,200,549.464794
200.0,200,560.443174
200.0,200,571.123367
27.0,27,572.572305
