#{"t_start": 1532378051.8175592, "env_id": "CartPole-v0"}
r,l,t
18.0,18,3.246006
33.0,33,3.316492
16.0,16,3.350551
17.0,17,3.38975
18.0,18,3.426138
14.0,14,3.454519
10.0,10,3.474353
30.0,30,3.533689
14.0,14,3.561301
30.0,30,3.620223
18.0,18,3.657411
22.0,22,3.700318
31.0,31,3.761293
18.0,18,3.797002
23.0,23,3.842029
25.0,25,3.892551
15.0,15,3.92175
44.0,44,4.009421
19.0,19,4.046065
17.0,17,4.079907
27.0,27,4.132966
13.0,13,4.159163
13.0,13,4.184867
50.0,50,4.281729
18.0,18,4.317214
18.0,18,4.352674
16.0,16,4.383372
22.0,22,4.426036
41.0,41,4.506044
18.0,18,4.591116
16.0,16,5.376338
20.0,20,6.675359
10.0,10,7.184679
11.0,11,7.740975
14.0,14,8.439901
9.0,9,8.893193
9.0,9,9.516746
9.0,9,10.017209
15.0,15,10.790755
10.0,10,11.345492
14.0,14,12.15721
23.0,23,13.320503
11.0,11,13.867867
10.0,10,14.367082
12.0,12,15.041078
20.0,20,16.036773
16.0,16,16.834676
17.0,17,17.825781
20.0,20,18.82608
10.0,10,19.324006
13.0,13,20.059024
12.0,12,20.654724
12.0,12,21.250579
12.0,12,21.843578
19.0,19,22.903124
14.0,14,23.644718
29.0,29,25.20185
15.0,15,25.951584
10.0,10,26.450742
13.0,13,27.101343
13.0,13,27.819062
23.0,23,28.983483
43.0,43,31.231004
23.0,23,32.377109
17.0,17,33.322788
17.0,17,34.169543
36.0,36,36.043482
23.0,23,37.224859
17.0,17,38.182537
27.0,27,39.532404
17.0,17,40.451466
16.0,16,41.50104
28.0,28,42.934657
37.0,37,44.989053
18.0,18,45.895965
16.0,16,46.7703
31.0,31,48.315512
13.0,13,49.0386
22.0,22,50.173596
69.0,69,53.866395
122.0,122,60.581436
161.0,161,69.1108
26.0,26,70.544187
16.0,16,71.354522
200.0,200,82.042099
83.0,83,86.572219
200.0,200,97.232702
200.0,200,107.952752
116.0,116,114.243853
189.0,189,124.595377
200.0,200,135.137883
200.0,200,145.924982
200.0,200,156.928411
200.0,200,167.897791
200.0,200,178.401076
200.0,200,189.101142
200.0,200,199.808323
151.0,151,207.818512
200.0,200,218.366003
200.0,200,229.295541
200.0,200,240.310492
200.0,200,250.975511
200.0,200,261.788454
13.0,13,262.457964
33.0,33,264.355518
15.0,15,265.11585
200.0,200,276.334952
200.0,200,287.496217
132.0,132,294.691456
34.0,34,296.434642
131.0,131,303.99182
200.0,200,314.706793
200.0,200,325.763991
200.0,200,337.148018
200.0,200,348.364091
200.0,200,359.294245
200.0,200,370.309646
141.0,141,378.53243
170.0,170,387.966696
200.0,200,398.742971
198.0,198,409.858324
200.0,200,421.080189
200.0,200,432.262367
200.0,200,443.474927
200.0,200,454.505736
200.0,200,466.328197
83.0,83,470.859607
200.0,200,481.623018
200.0,200,492.434237
25.0,25,493.834717
14.0,14,494.6464
200.0,200,506.153887
200.0,200,517.120262
200.0,200,528.553058
200.0,200,539.903347
200.0,200,550.897261
200.0,200,561.721095
185.0,185,571.518109
