#{"t_start": 1532378051.8601325, "env_id": "CartPole-v0"}
r,l,t
40.0,40,3.251425
20.0,20,3.293565
14.0,14,3.325554
17.0,17,3.362457
33.0,33,3.428425
12.0,12,3.451881
12.0,12,3.47576
13.0,13,3.501667
25.0,25,3.550764
13.0,13,3.576134
30.0,30,3.636497
26.0,26,3.68735
12.0,12,3.711389
16.0,16,3.743084
34.0,34,3.80989
26.0,26,3.861907
14.0,14,3.889501
15.0,15,3.919796
24.0,24,3.966844
13.0,13,3.992577
33.0,33,4.057192
19.0,19,4.094847
15.0,15,4.124583
12.0,12,4.148181
35.0,35,4.216596
11.0,11,4.237759
14.0,14,4.265513
17.0,17,4.298461
13.0,13,4.323756
12.0,12,4.347284
42.0,42,4.428931
16.0,16,4.460164
25.0,25,4.794627
14.0,14,5.481458
11.0,11,6.022546
12.0,12,6.938757
16.0,16,7.748813
10.0,10,8.247927
12.0,12,8.851421
10.0,10,9.540224
10.0,10,10.077402
10.0,10,10.591706
17.0,17,11.505951
9.0,9,12.059285
14.0,14,12.774743
14.0,14,13.476949
13.0,13,14.125994
10.0,10,14.697816
11.0,11,15.248437
28.0,28,16.643049
13.0,13,17.362677
14.0,14,18.133865
16.0,16,18.934286
13.0,13,19.584348
27.0,27,21.011413
17.0,17,21.85117
15.0,15,22.712456
9.0,9,23.15792
12.0,12,23.817648
13.0,13,24.478796
12.0,12,25.15996
16.0,16,25.959408
34.0,34,27.728074
15.0,15,28.470735
28.0,28,29.885437
17.0,17,30.84022
21.0,21,31.887197
32.0,32,33.580834
18.0,18,34.477241
19.0,19,35.502458
25.0,25,36.781902
11.0,11,37.333167
17.0,17,38.290078
21.0,21,39.339947
15.0,15,40.154688
46.0,46,42.738404
12.0,12,43.445636
28.0,28,44.947108
27.0,27,46.378268
15.0,15,47.127971
72.0,72,50.844549
98.0,98,56.246942
20.0,20,57.340192
29.0,29,58.791273
15.0,15,59.753477
200.0,200,70.401723
200.0,200,81.084259
70.0,70,84.756386
164.0,164,93.567666
200.0,200,104.240479
200.0,200,115.059944
200.0,200,125.967289
200.0,200,136.522159
200.0,200,147.402314
17.0,17,148.354616
143.0,143,156.183115
200.0,200,167.032361
25.0,25,168.576154
200.0,200,179.011034
133.0,133,186.23356
29.0,29,187.717461
200.0,200,198.385763
92.0,92,203.247926
36.0,36,205.24589
15.0,15,206.017739
200.0,200,216.555866
22.0,22,217.769017
155.0,155,226.044657
200.0,200,237.276559
53.0,53,240.118744
63.0,63,243.479981
200.0,200,254.130411
200.0,200,265.023553
200.0,200,276.241507
200.0,200,287.4029
200.0,200,298.433428
38.0,38,300.71438
200.0,200,311.469776
135.0,135,318.625974
200.0,200,330.023357
47.0,47,332.533217
200.0,200,343.553406
200.0,200,354.709289
200.0,200,365.753021
200.0,200,377.397311
200.0,200,388.494318
200.0,200,399.267596
200.0,200,410.47278
169.0,169,420.108145
143.0,143,427.961196
200.0,200,439.121586
200.0,200,450.474303
200.0,200,462.079102
200.0,200,473.07955
200.0,200,483.846863
200.0,200,494.820303
200.0,200,506.339609
200.0,200,517.292682
200.0,200,528.743777
200.0,200,540.038921
182.0,182,549.820659
200.0,200,560.795207
200.0,200,571.476279
