#{"t_start": 1532378051.8306522, "env_id": "CartPole-v0"}
r,l,t
17.0,17,3.231093
14.0,14,3.260985
11.0,11,3.284741
40.0,40,3.372817
21.0,21,3.415479
26.0,26,3.467352
14.0,14,3.495198
20.0,20,3.534606
18.0,18,3.570308
21.0,21,3.611352
13.0,13,3.638077
12.0,12,3.661714
19.0,19,3.698783
13.0,13,3.724463
28.0,28,3.78004
22.0,22,3.823359
12.0,12,3.847013
23.0,23,3.893074
15.0,15,3.923131
14.0,14,3.951004
12.0,12,3.97441
13.0,13,4.000019
20.0,20,4.039414
19.0,19,4.07651
15.0,15,4.10647
56.0,56,4.216487
14.0,14,4.243891
18.0,18,4.27887
16.0,16,4.310152
15.0,15,4.339274
36.0,36,4.409238
40.0,40,4.487434
10.0,10,4.506852
11.0,11,4.5783
15.0,15,5.314759
18.0,18,6.19955
14.0,14,7.222324
12.0,12,7.82775
11.0,11,8.376947
10.0,10,8.88038
10.0,10,9.568999
9.0,9,10.055076
11.0,11,10.620654
11.0,11,11.220986
10.0,10,11.736322
29.0,29,13.30772
11.0,11,13.855061
16.0,16,14.726908
9.0,9,15.177828
16.0,16,15.974314
15.0,15,16.722352
10.0,10,17.292819
15.0,15,18.113311
30.0,30,19.613437
40.0,40,21.682148
11.0,11,22.22779
18.0,18,23.236583
28.0,28,24.708758
18.0,18,25.688752
32.0,32,27.287535
17.0,17,28.202731
11.0,11,28.747671
51.0,51,31.417167
15.0,15,32.165071
32.0,32,33.85854
15.0,15,34.607049
12.0,12,35.206123
24.0,24,36.493019
28.0,28,38.018121
15.0,15,38.769426
13.0,13,39.419235
26.0,26,40.954487
14.0,14,41.747499
27.0,27,43.125837
86.0,86,47.705088
106.0,106,53.297593
132.0,132,60.568645
114.0,114,66.671001
200.0,200,77.339593
148.0,148,85.181829
42.0,42,87.47275
175.0,175,96.787913
51.0,51,99.449003
112.0,112,105.567326
200.0,200,116.430648
200.0,200,127.281898
200.0,200,137.849248
200.0,200,148.689078
200.0,200,159.731208
129.0,129,166.613683
91.0,91,171.632567
89.0,89,176.307325
149.0,149,184.250302
200.0,200,195.002146
161.0,161,203.427044
200.0,200,214.01845
200.0,200,224.64253
200.0,200,235.937749
161.0,161,244.5187
56.0,56,247.500762
200.0,200,258.223399
84.0,84,262.805962
200.0,200,273.947361
118.0,118,280.419293
84.0,84,285.315432
185.0,185,295.387163
24.0,24,296.645013
123.0,123,303.77318
55.0,55,306.771985
200.0,200,317.426255
200.0,200,328.815591
116.0,116,335.022286
200.0,200,346.11238
200.0,200,357.308333
200.0,200,368.435059
200.0,200,379.892563
200.0,200,390.900543
200.0,200,401.728057
124.0,124,408.935895
200.0,200,420.137136
200.0,200,431.316211
200.0,200,442.432232
200.0,200,453.573641
126.0,126,461.138514
178.0,178,471.002367
200.0,200,481.764346
200.0,200,492.573524
200.0,200,503.899714
200.0,200,515.191966
153.0,153,523.685412
105.0,105,529.872177
194.0,194,540.734048
189.0,189,551.208202
183.0,183,560.976502
200.0,200,571.658317
