#{"t_start": 1532378051.8230965, "env_id": "CartPole-v0"}
r,l,t
46.0,46,3.300673
24.0,24,3.352522
37.0,37,3.430985
9.0,9,3.449145
19.0,19,3.486646
21.0,21,3.528322
21.0,21,3.570074
15.0,15,3.599075
21.0,21,3.641358
15.0,15,3.671178
17.0,17,3.70423
31.0,31,3.765888
21.0,21,3.807188
12.0,12,3.830837
24.0,24,3.878838
13.0,13,3.904533
11.0,11,3.926181
41.0,41,4.007418
12.0,12,4.0311
16.0,16,4.062386
27.0,27,4.115855
13.0,13,4.141334
14.0,14,4.169039
17.0,17,4.202526
9.0,9,4.220081
12.0,12,4.243617
41.0,41,4.323521
18.0,18,4.358397
42.0,42,4.439971
15.0,15,4.469402
15.0,15,4.498716
14.0,14,4.52609
27.0,27,5.665135
12.0,12,6.503849
10.0,10,7.077398
9.0,9,7.535224
13.0,13,8.184569
10.0,10,8.68529
12.0,12,9.43111
10.0,10,10.011963
30.0,30,11.593421
15.0,15,12.45862
11.0,11,13.013439
20.0,20,14.012998
26.0,26,15.384582
14.0,14,16.080996
12.0,12,16.679599
11.0,11,17.300171
16.0,16,18.170516
18.0,18,19.071162
27.0,27,20.500909
23.0,23,21.640178
26.0,26,23.046957
33.0,33,24.766113
10.0,10,25.346427
14.0,14,26.045963
13.0,13,26.694948
9.0,9,27.145884
10.0,10,27.714929
23.0,23,28.856831
20.0,20,29.87137
20.0,20,30.97676
23.0,23,32.122776
11.0,11,32.671335
11.0,11,33.317478
17.0,17,34.164276
12.0,12,34.764595
18.0,18,35.738531
27.0,27,37.11993
43.0,43,39.376404
11.0,11,39.986964
16.0,16,40.961974
15.0,15,41.806761
26.0,26,43.133162
58.0,58,46.314406
115.0,115,52.335369
17.0,17,53.202736
200.0,200,64.109797
200.0,200,74.791081
61.0,61,78.004157
200.0,200,88.640494
111.0,111,94.676311
200.0,200,105.374865
200.0,200,116.2164
186.0,186,126.253924
200.0,200,136.812263
200.0,200,147.693585
200.0,200,158.59978
200.0,200,169.634108
200.0,200,180.055106
14.0,14,180.879292
200.0,200,191.617676
200.0,200,202.280182
199.0,199,212.80227
85.0,85,217.251716
77.0,77,221.40857
200.0,200,232.414514
200.0,200,243.365116
200.0,200,254.01606
200.0,200,264.908141
128.0,128,272.027096
153.0,153,280.426801
200.0,200,291.679562
200.0,200,302.857295
187.0,187,312.878188
200.0,200,324.002061
200.0,200,335.029759
200.0,200,346.119869
200.0,200,357.315843
200.0,200,368.442549
200.0,200,379.900053
200.0,200,390.908031
200.0,200,401.735321
200.0,200,413.032989
43.0,43,415.359389
74.0,74,419.783743
200.0,200,430.952372
200.0,200,441.93734
200.0,200,453.215446
200.0,200,464.952553
177.0,177,474.510338
91.0,91,479.396055
151.0,151,487.580921
200.0,200,498.573646
172.0,172,508.564822
200.0,200,519.455943
200.0,200,531.090381
158.0,158,540.019562
200.0,200,551.038179
200.0,200,561.851971
200.0,200,572.453284
