#{"t_start": 1532378051.8376703, "env_id": "CartPole-v0"}
r,l,t
11.0,11,3.211309
29.0,29,3.273451
16.0,16,3.30719
11.0,11,3.330845
12.0,12,3.359948
18.0,18,3.396423
15.0,15,3.426749
44.0,44,3.51398
12.0,12,3.537515
19.0,19,3.574933
12.0,12,3.598391
20.0,20,3.639084
18.0,18,3.674267
14.0,14,3.701825
13.0,13,3.72726
24.0,24,3.775208
13.0,13,3.800782
17.0,17,3.834089
21.0,21,3.87614
36.0,36,3.947966
15.0,15,3.977257
52.0,52,4.079385
15.0,15,4.109239
14.0,14,4.136926
56.0,56,4.246485
61.0,61,4.365485
13.0,13,4.390679
17.0,17,4.423619
12.0,12,4.447069
15.0,15,4.47666
33.0,33,5.062877
12.0,12,5.650901
9.0,9,6.09388
15.0,15,7.164949
10.0,10,7.671266
9.0,9,8.120382
13.0,13,8.77264
9.0,9,9.365357
9.0,9,9.895711
10.0,10,10.407889
10.0,10,10.926218
14.0,14,11.679479
14.0,14,12.494343
14.0,14,13.200153
13.0,13,13.848125
9.0,9,14.297781
12.0,12,14.97151
25.0,25,16.21671
12.0,12,16.81504
52.0,52,19.556337
25.0,25,20.883523
22.0,22,21.972452
25.0,25,23.328846
25.0,25,24.65193
22.0,22,25.831812
21.0,21,26.880769
18.0,18,27.848694
13.0,13,28.492896
25.0,25,29.757953
15.0,15,30.613127
16.0,16,31.410298
19.0,19,32.357553
14.0,14,33.15299
16.0,16,33.950635
15.0,15,34.700174
20.0,20,35.774132
18.0,18,36.702224
10.0,10,37.205354
36.0,36,39.111649
14.0,14,39.870635
17.0,17,40.892428
14.0,14,41.688989
38.0,38,43.766198
25.0,25,45.07009
111.0,111,50.815053
19.0,19,51.913172
108.0,108,57.761738
101.0,101,63.285707
17.0,17,64.146278
200.0,200,74.827643
193.0,193,85.056837
200.0,200,95.762595
200.0,200,106.493822
81.0,81,111.051572
19.0,19,112.015841
113.0,113,118.054962
71.0,71,121.988063
59.0,59,125.183205
200.0,200,135.727725
200.0,200,146.56061
200.0,200,157.518559
200.0,200,168.546816
20.0,20,169.568289
200.0,200,179.990307
200.0,200,190.760595
200.0,200,201.418695
28.0,28,202.918514
200.0,200,213.503116
200.0,200,224.126163
122.0,122,230.928633
200.0,200,241.903482
200.0,200,252.546743
143.0,143,260.318623
186.0,186,270.724701
77.0,77,274.819638
110.0,110,281.341922
15.0,15,282.141824
200.0,200,292.974919
200.0,200,304.178351
200.0,200,314.89966
48.0,48,317.4714
200.0,200,328.864331
143.0,143,336.863232
109.0,109,342.660489
200.0,200,353.813613
200.0,200,364.85132
126.0,126,371.825119
200.0,200,383.376415
200.0,200,394.222384
200.0,200,405.315971
200.0,200,416.393807
200.0,200,427.702049
200.0,200,438.797561
200.0,200,450.201259
200.0,200,461.798987
200.0,200,472.797105
200.0,200,483.548419
200.0,200,494.498407
200.0,200,505.811184
200.0,200,516.961466
200.0,200,528.103523
200.0,200,539.757024
200.0,200,550.559125
57.0,57,553.996634
166.0,166,562.880864
200.0,200,573.453387
