#{"t_start": 1532378051.8452315, "env_id": "CartPole-v0"}
r,l,t
15.0,15,3.212413
10.0,10,3.233736
20.0,20,3.276703
15.0,15,3.308283
22.0,22,3.35851
21.0,21,3.40115
14.0,14,3.429324
17.0,17,3.462703
27.0,27,3.51642
11.0,11,3.538239
30.0,30,3.596998
12.0,12,3.621659
12.0,12,3.645316
27.0,27,3.698226
14.0,14,3.726142
12.0,12,3.750147
20.0,20,3.789344
23.0,23,3.835117
30.0,30,3.894555
24.0,24,3.942495
18.0,18,3.977695
14.0,14,4.005355
14.0,14,4.032842
19.0,19,4.069885
11.0,11,4.092096
15.0,15,4.121502
33.0,33,4.186318
12.0,12,4.210078
22.0,22,4.252517
46.0,46,4.342379
10.0,10,4.361933
30.0,30,4.419993
14.0,14,4.447522
15.0,15,4.476847
13.0,13,4.502185
18.0,18,5.153255
21.0,21,6.185152
15.0,15,7.258826
12.0,12,7.863199
8.0,8,8.262542
12.0,12,8.866096
9.0,9,9.489618
9.0,9,9.990064
19.0,19,10.968697
12.0,12,11.621618
38.0,38,13.64132
27.0,27,15.06393
14.0,14,15.760839
12.0,12,16.358778
20.0,20,17.459047
13.0,13,18.148626
11.0,11,18.699787
17.0,17,19.549019
10.0,10,20.131119
16.0,16,20.926105
56.0,56,23.882996
18.0,18,24.794077
15.0,15,25.624358
21.0,21,26.673167
22.0,22,27.84127
20.0,20,28.835132
20.0,20,29.849709
9.0,9,30.406677
14.0,14,31.104117
13.0,13,31.752731
30.0,30,33.34555
23.0,23,34.491892
50.0,50,37.098377
25.0,25,38.454886
25.0,25,39.750072
30.0,30,41.525458
14.0,14,42.245993
97.0,97,47.391929
42.0,42,49.559463
13.0,13,50.248217
72.0,72,54.207116
28.0,28,55.754234
108.0,108,61.524265
185.0,185,71.377978
26.0,26,72.725223
28.0,28,74.362977
195.0,195,84.668881
200.0,200,95.404794
200.0,200,106.104404
200.0,200,116.989572
200.0,200,127.82505
56.0,56,130.7855
142.0,142,138.298872
200.0,200,149.192741
17.0,17,150.098039
200.0,200,161.084221
200.0,200,171.920229
200.0,200,182.367829
70.0,70,186.299069
200.0,200,196.99559
200.0,200,207.589415
160.0,160,216.007248
200.0,200,226.668999
200.0,200,237.946019
21.0,21,239.015335
200.0,200,249.666473
200.0,200,260.463224
200.0,200,271.588783
200.0,200,282.905269
18.0,18,283.935198
200.0,200,294.765194
102.0,102,300.67748
191.0,191,310.901071
137.0,137,318.232194
200.0,200,329.634268
116.0,116,336.199754
200.0,200,347.412757
66.0,66,350.918113
177.0,177,360.577474
200.0,200,371.614509
200.0,200,383.164294
120.0,120,389.816804
81.0,81,394.061627
200.0,200,405.146163
89.0,89,410.184926
194.0,194,421.104558
200.0,200,432.287198
166.0,166,441.303082
200.0,200,452.68312
200.0,200,464.300588
200.0,200,475.255336
200.0,200,486.065626
200.0,200,497.003173
200.0,200,508.594821
200.0,200,519.484616
200.0,200,531.12072
127.0,127,538.370319
200.0,200,549.167051
200.0,200,560.151009
200.0,200,570.827892
