#{"t_start": 1532379210.888506, "env_id": "CartPole-v0"}
r,l,t
31.0,31,3.281729
41.0,41,3.348029
11.0,11,3.371626
13.0,13,3.392525
10.0,10,3.410508
24.0,24,3.452655
18.0,18,3.48244
17.0,17,3.510045
18.0,18,3.53883
15.0,15,3.562599
15.0,15,3.587153
17.0,17,3.613762
10.0,10,3.628655
17.0,17,3.655075
15.0,15,3.679545
26.0,26,3.721006
26.0,26,3.761724
22.0,22,3.796827
29.0,29,3.84238
20.0,20,3.873073
41.0,41,3.937585
21.0,21,3.970889
35.0,35,4.026153
37.0,37,4.084137
11.0,11,4.10212
16.0,16,4.127775
21.0,21,4.160438
16.0,16,4.184777
18.0,18,4.21274
12.0,12,4.231726
15.0,15,4.256196
44.0,44,4.656458
16.0,16,5.039005
11.0,11,5.576154
9.0,9,5.793805
10.0,10,6.037384
9.0,9,6.253227
9.0,9,6.469193
9.0,9,6.764958
10.0,10,7.044782
9.0,9,7.298819
9.0,9,7.515923
10.0,10,7.789877
9.0,9,8.079934
9.0,9,8.299039
10.0,10,8.540076
8.0,8,8.732531
10.0,10,8.968406
8.0,8,9.159385
10.0,10,9.489458
10.0,10,9.732467
9.0,9,9.949596
10.0,10,10.191086
10.0,10,10.433032
9.0,9,10.755285
9.0,9,10.96991
10.0,10,11.206209
9.0,9,11.419018
9.0,9,11.63323
9.0,9,11.84795
9.0,9,12.154707
10.0,10,12.397209
10.0,10,12.639321
10.0,10,12.884529
9.0,9,13.106189
9.0,9,13.545803
9.0,9,13.796825
9.0,9,14.039081
9.0,9,14.272602
10.0,10,14.544062
