#{"t_start": 1532379210.8987105, "env_id": "CartPole-v0"}
r,l,t
14.0,14,3.243763
25.0,25,3.28447
18.0,18,3.313802
12.0,12,3.333071
14.0,14,3.361487
11.0,11,3.379167
16.0,16,3.407568
25.0,25,3.451064
12.0,12,3.470737
54.0,54,3.557268
31.0,31,3.606575
12.0,12,3.624499
16.0,16,3.649737
15.0,15,3.674015
19.0,19,3.704396
16.0,16,3.729096
15.0,15,3.753
21.0,21,3.786684
12.0,12,3.805361
23.0,23,3.841268
11.0,11,3.858242
12.0,12,3.877431
17.0,17,3.904336
25.0,25,3.943434
11.0,11,3.960756
48.0,48,4.036128
14.0,14,4.058353
36.0,36,4.116
19.0,19,4.146
42.0,42,4.210681
10.0,10,4.226523
37.0,37,4.283377
13.0,13,4.506423
19.0,19,4.955411
14.0,14,5.565883
10.0,10,5.807744
9.0,9,6.027229
8.0,8,6.218539
11.0,11,6.482902
8.0,8,6.754821
9.0,9,7.003841
10.0,10,7.288682
9.0,9,7.50576
10.0,10,7.779741
10.0,10,8.094689
9.0,9,8.312994
8.0,8,8.505386
10.0,10,8.74661
9.0,9,8.958258
10.0,10,9.19637
9.0,9,9.504318
9.0,9,9.722309
10.0,10,9.963637
10.0,10,10.205287
9.0,9,10.422877
10.0,10,10.77019
9.0,9,10.983247
9.0,9,11.196074
10.0,10,11.432407
10.0,10,11.670869
10.0,10,11.993331
9.0,9,12.217187
9.0,9,12.435316
9.0,9,12.653459
9.0,9,12.874363
9.0,9,13.096035
10.0,10,13.564686
10.0,10,13.840349
10.0,10,14.105963
10.0,10,14.368855
10.0,10,14.635629
