#{"t_start": 1532379210.9180334, "env_id": "CartPole-v0"}
r,l,t
16.0,16,3.227978
20.0,20,3.260516
15.0,15,3.284936
25.0,25,3.327469
14.0,14,3.353683
19.0,19,3.386743
26.0,26,3.431876
25.0,25,3.472567
19.0,19,3.503155
9.0,9,3.517664
16.0,16,3.543072
53.0,53,3.625744
13.0,13,3.647015
19.0,19,3.677418
24.0,24,3.714834
12.0,12,3.733897
13.0,13,3.754382
33.0,33,3.806849
16.0,16,3.831276
35.0,35,3.886725
10.0,10,3.902341
51.0,51,3.982868
32.0,32,4.032977
28.0,28,4.077687
13.0,13,4.098458
43.0,43,4.16515
16.0,16,4.189893
32.0,32,4.241062
19.0,19,4.268728
21.0,21,4.748641
17.0,17,5.406501
8.0,8,5.620842
10.0,10,5.860132
9.0,9,6.079422
8.0,8,6.271739
9.0,9,6.487883
9.0,9,6.787336
11.0,11,7.109162
9.0,9,7.34165
9.0,9,7.58128
9.0,9,7.808688
11.0,11,8.148658
10.0,10,8.390293
9.0,9,8.606708
9.0,9,8.822036
10.0,10,9.059632
9.0,9,9.361469
10.0,10,9.606859
9.0,9,9.823788
9.0,9,10.04094
9.0,9,10.259387
9.0,9,10.475099
8.0,8,10.774806
9.0,9,10.987792
9.0,9,11.200572
10.0,10,11.436663
9.0,9,11.651812
9.0,9,11.947706
9.0,9,12.174088
9.0,9,12.391986
9.0,9,12.610068
8.0,8,12.805825
10.0,10,13.052491
9.0,9,13.487845
9.0,9,13.740252
9.0,9,13.9836
10.0,10,14.243395
10.0,10,14.514904
