#{"t_start": 1532379210.9467509, "env_id": "CartPole-v0"}
r,l,t
70.0,70,3.287209
13.0,13,3.313987
28.0,28,3.361975
33.0,33,3.418118
17.0,17,3.445765
22.0,22,3.481395
25.0,25,3.521345
16.0,16,3.546924
29.0,29,3.590836
13.0,13,3.612133
33.0,33,3.665063
11.0,11,3.681546
33.0,33,3.733945
24.0,24,3.772064
30.0,30,3.818583
24.0,24,3.856778
44.0,44,3.925945
15.0,15,3.949473
11.0,11,3.966974
19.0,19,3.996448
22.0,22,4.03122
13.0,13,4.052872
14.0,14,4.075064
18.0,18,4.102747
28.0,28,4.146185
17.0,17,4.17248
33.0,33,4.224199
15.0,15,4.315775
20.0,20,4.791573
16.0,16,5.439257
9.0,9,5.664503
10.0,10,5.906639
11.0,11,6.171142
8.0,8,6.363585
9.0,9,6.653835
10.0,10,6.92394
10.0,10,7.217103
10.0,10,7.458367
8.0,8,7.684365
10.0,10,7.925671
10.0,10,8.241396
9.0,9,8.457953
9.0,9,8.674925
10.0,10,8.910849
8.0,8,9.101743
10.0,10,9.431886
10.0,10,9.674893
11.0,11,9.940271
9.0,9,10.157789
9.0,9,10.375472
9.0,9,10.697749
9.0,9,10.912265
10.0,10,11.148621
9.0,9,11.361409
9.0,9,11.575596
10.0,10,11.889754
10.0,10,12.145714
10.0,10,12.3879
9.0,9,12.606011
10.0,10,12.851996
10.0,10,13.096973
9.0,9,13.545539
9.0,9,13.792885
11.0,11,14.084114
9.0,9,14.321544
10.0,10,14.588371
