#{"t_start": 1532379210.8851938, "env_id": "CartPole-v0"}
r,l,t
18.0,18,3.263848
54.0,54,3.351314
18.0,18,3.386233
21.0,21,3.422899
14.0,14,3.447522
14.0,14,3.470693
10.0,10,3.48744
21.0,21,3.521344
32.0,32,3.572295
22.0,22,3.607856
21.0,21,3.639553
24.0,24,3.67785
11.0,11,3.695192
17.0,17,3.722622
11.0,11,3.739371
17.0,17,3.76643
11.0,11,3.7837
17.0,17,3.810786
14.0,14,3.833008
41.0,41,3.897322
14.0,14,3.919226
15.0,15,3.942421
30.0,30,3.990304
20.0,20,4.021852
51.0,51,4.102099
16.0,16,4.127761
43.0,43,4.194383
17.0,17,4.220842
16.0,16,4.246497
11.0,11,4.264207
36.0,36,4.543006
11.0,11,4.805248
10.0,10,5.042317
9.0,9,5.527461
10.0,10,5.773252
10.0,10,6.016485
10.0,10,6.256539
10.0,10,6.496338
9.0,9,6.79438
10.0,10,7.078183
11.0,11,7.374213
10.0,10,7.642949
9.0,9,7.866172
10.0,10,8.181201
9.0,9,8.398719
10.0,10,8.639261
10.0,10,8.878008
9.0,9,9.092167
9.0,9,9.393982
8.0,8,9.59114
10.0,10,9.832314
10.0,10,10.073482
10.0,10,10.315925
10.0,10,10.554765
9.0,9,10.877921
8.0,8,11.067899
9.0,9,11.280481
9.0,9,11.492714
10.0,10,11.73179
10.0,10,12.058366
9.0,9,12.279782
8.0,8,12.473073
9.0,9,12.691243
9.0,9,12.912948
9.0,9,13.133643
8.0,8,13.549176
10.0,10,13.827174
8.0,8,14.042348
10.0,10,14.302675
9.0,9,14.547341
