#{"t_start": 1532379210.900891, "env_id": "CartPole-v0"}
r,l,t
18.0,18,3.248326
41.0,41,3.315017
30.0,30,3.369074
37.0,37,3.433692
23.0,23,3.471918
28.0,28,3.516938
12.0,12,3.536273
41.0,41,3.601488
18.0,18,3.628674
22.0,22,3.664043
29.0,29,3.710403
13.0,13,3.730204
34.0,34,3.784552
10.0,10,3.799926
20.0,20,3.831619
21.0,21,3.864028
9.0,9,3.8786
14.0,14,3.900577
19.0,19,3.930112
23.0,23,3.966596
30.0,30,4.013875
13.0,13,4.033965
12.0,12,4.053195
19.0,19,4.083159
29.0,29,4.129596
28.0,28,4.172564
23.0,23,4.208544
15.0,15,4.232609
14.0,14,4.254987
23.0,23,4.313859
17.0,17,4.717046
11.0,11,4.977072
12.0,12,5.538237
10.0,10,5.781584
9.0,9,6.00102
10.0,10,6.24102
8.0,8,6.432908
9.0,9,6.726171
9.0,9,6.969269
9.0,9,7.237958
9.0,9,7.454675
10.0,10,7.729741
10.0,10,7.97105
11.0,11,8.310994
8.0,8,8.503372
10.0,10,8.74458
9.0,9,8.956251
10.0,10,9.194354
9.0,9,9.502313
8.0,8,9.696251
9.0,9,9.913292
9.0,9,10.1301
10.0,10,10.372753
11.0,11,10.743103
11.0,11,11.004826
9.0,9,11.217617
10.0,10,11.453709
10.0,10,11.692577
10.0,10,12.017115
10.0,10,12.264194
8.0,8,12.457572
10.0,10,12.699922
9.0,9,12.922352
10.0,10,13.34617
10.0,10,13.64482
10.0,10,13.917885
10.0,10,14.180855
8.0,8,14.393321
10.0,10,14.657233
