#{"t_start": 1532379210.8927345, "env_id": "CartPole-v0"}
r,l,t
26.0,26,3.269439
15.0,15,3.293757
17.0,17,3.321389
18.0,18,3.352502
20.0,20,3.388307
37.0,37,3.453683
13.0,13,3.474956
15.0,15,3.499307
23.0,23,3.536364
11.0,11,3.553847
21.0,21,3.587687
13.0,13,3.607889
16.0,16,3.632087
11.0,11,3.649197
11.0,11,3.667188
14.0,14,3.68942
17.0,17,3.716789
51.0,51,3.797474
25.0,25,3.836658
25.0,25,3.875299
15.0,15,3.899457
16.0,16,3.924368
11.0,11,3.941411
13.0,13,3.962317
17.0,17,3.989283
11.0,11,4.006291
31.0,31,4.054906
12.0,12,4.073764
11.0,11,4.091214
37.0,37,4.15041
15.0,15,4.173042
11.0,11,4.190265
18.0,18,4.218215
18.0,18,4.247118
13.0,13,4.267759
13.0,13,4.286454
10.0,10,4.393231
22.0,22,4.914681
10.0,10,5.393344
9.0,9,5.645882
9.0,9,5.861307
9.0,9,6.080897
9.0,9,6.296796
9.0,9,6.51291
9.0,9,6.812391
9.0,9,7.070688
10.0,10,7.342568
9.0,9,7.574804
9.0,9,7.80986
9.0,9,8.100593
9.0,9,8.318944
9.0,9,8.535885
9.0,9,8.75255
10.0,10,8.987843
10.0,10,9.225789
10.0,10,9.559415
9.0,9,9.7765
9.0,9,9.993696
10.0,10,10.235991
9.0,9,10.452761
9.0,9,10.776136
10.0,10,11.012808
9.0,9,11.225634
8.0,8,11.414823
11.0,11,11.676811
10.0,10,11.999305
9.0,9,12.223136
10.0,10,12.465585
9.0,9,12.683757
8.0,8,12.880314
8.0,8,13.077526
10.0,10,13.541679
8.0,8,13.765281
9.0,9,14.008569
9.0,9,14.241992
10.0,10,14.511737
