#{"t_start": 1532379210.9201384, "env_id": "CartPole-v0"}
r,l,t
11.0,11,3.21773
29.0,29,3.264987
16.0,16,3.290976
11.0,11,3.308731
12.0,12,3.33239
18.0,18,3.362782
15.0,15,3.390179
44.0,44,3.464182
12.0,12,3.483392
19.0,19,3.513928
12.0,12,3.532811
20.0,20,3.565183
18.0,18,3.592674
14.0,14,3.614041
13.0,13,3.634944
24.0,24,3.673634
13.0,13,3.694452
17.0,17,3.720707
21.0,21,3.753842
36.0,36,3.811057
15.0,15,3.834038
52.0,52,3.915846
23.0,23,3.952267
12.0,12,3.971212
18.0,18,3.99918
22.0,22,4.034162
23.0,23,4.070791
24.0,24,4.108856
45.0,45,4.178423
30.0,30,4.226492
19.0,19,4.25474
19.0,19,4.508364
13.0,13,4.817919
10.0,10,5.056342
9.0,9,5.544872
9.0,9,5.762542
10.0,10,6.006049
10.0,10,6.24584
10.0,10,6.485854
10.0,10,6.810392
9.0,9,7.072436
9.0,9,7.315528
9.0,9,7.547686
10.0,10,7.806733
10.0,10,8.122555
10.0,10,8.36414
10.0,10,8.604755
9.0,9,8.819955
10.0,10,9.057557
10.0,10,9.38451
9.0,9,9.60479
9.0,9,9.821841
10.0,10,10.062899
10.0,10,10.305419
9.0,9,10.520123
10.0,10,10.866655
9.0,9,11.080069
9.0,9,11.292952
9.0,9,11.504929
9.0,9,11.720497
10.0,10,12.048969
9.0,9,12.269656
10.0,10,12.511732
10.0,10,12.754584
8.0,8,12.952863
10.0,10,13.396944
10.0,10,13.681798
10.0,10,13.954311
9.0,9,14.188561
10.0,10,14.456088
