#{"t_start": 1532379210.9302711, "env_id": "CartPole-v0"}
r,l,t
15.0,15,3.214319
10.0,10,3.230684
20.0,20,3.263197
15.0,15,3.287579
22.0,22,3.32849
21.0,21,3.363868
14.0,14,3.389298
17.0,17,3.41816
27.0,27,3.462097
11.0,11,3.480283
30.0,30,3.5277
12.0,12,3.547448
12.0,12,3.566246
27.0,27,3.607176
14.0,14,3.62994
12.0,12,3.64894
20.0,20,3.68141
23.0,23,3.717095
30.0,30,3.76464
24.0,24,3.802523
18.0,18,3.830019
14.0,14,3.8527
14.0,14,3.874667
19.0,19,3.904182
11.0,11,3.921964
15.0,15,3.945684
33.0,33,3.996801
12.0,12,4.016079
22.0,22,4.05075
46.0,46,4.123322
10.0,10,4.138905
29.0,29,4.184065
19.0,19,4.214803
26.0,26,4.253518
15.0,15,4.545473
16.0,16,4.924213
10.0,10,5.426945
9.0,9,5.656704
9.0,9,5.873102
10.0,10,6.11531
11.0,11,6.379852
10.0,10,6.697102
9.0,9,6.940155
10.0,10,7.233362
8.0,8,7.425589
9.0,9,7.676779
9.0,9,7.893934
10.0,10,8.209229
11.0,11,8.474231
10.0,10,8.715459
10.0,10,8.950758
8.0,8,9.141727
10.0,10,9.473229
10.0,10,9.715263
10.0,10,9.956538
8.0,8,10.149775
8.0,8,10.343647
10.0,10,10.687624
10.0,10,10.928557
8.0,8,11.116939
10.0,10,11.354133
9.0,9,11.567271
10.0,10,11.806662
9.0,9,12.113383
9.0,9,12.331854
10.0,10,12.573761
10.0,10,12.818588
10.0,10,13.0649
9.0,9,13.504637
8.0,8,13.728245
9.0,9,13.971476
10.0,10,14.231331
8.0,8,14.446252
