#{"t_start": 1532379210.9387975, "env_id": "CartPole-v0"}
r,l,t
17.0,17,3.209196
15.0,15,3.233595
9.0,9,3.248214
18.0,18,3.277447
14.0,14,3.300551
18.0,18,3.334746
14.0,14,3.358807
24.0,24,3.401095
13.0,13,3.422656
17.0,17,3.450404
43.0,43,3.519241
20.0,20,3.55137
30.0,30,3.597142
55.0,55,3.684781
23.0,23,3.721169
20.0,20,3.753322
18.0,18,3.781573
16.0,16,3.805954
38.0,38,3.866207
14.0,14,3.887779
11.0,11,3.905284
32.0,32,3.955836
10.0,10,3.971883
13.0,13,3.99157
13.0,13,4.012526
15.0,15,4.035964
11.0,11,4.054004
10.0,10,4.069833
41.0,41,4.133468
25.0,25,4.17256
14.0,14,4.195062
26.0,26,4.234871
17.0,17,4.419871
11.0,11,4.679545
10.0,10,4.915757
8.0,8,5.348249
8.0,8,5.575984
9.0,9,5.791998
10.0,10,6.03531
10.0,10,6.275127
10.0,10,6.515153
9.0,9,6.816668
8.0,8,7.054035
9.0,9,7.297061
9.0,9,7.529243
10.0,10,7.788273
9.0,9,8.07981
10.0,10,8.321744
10.0,10,8.562339
10.0,10,8.801561
9.0,9,9.015427
10.0,10,9.341007
10.0,10,9.586366
10.0,10,9.827415
10.0,10,10.06842
10.0,10,10.311108
10.0,10,10.64852
8.0,8,10.848238
9.0,9,11.061586
9.0,9,11.274505
9.0,9,11.486533
10.0,10,11.725525
10.0,10,12.055571
10.0,10,12.299209
9.0,9,12.517296
9.0,9,12.736134
10.0,10,12.983599
10.0,10,13.438378
9.0,9,13.691921
9.0,9,13.935896
10.0,10,14.196489
9.0,9,14.437768
