#{"t_start": 1532379210.9340022, "env_id": "CartPole-v0"}
r,l,t
16.0,16,3.212313
65.0,65,3.322779
61.0,61,3.427438
15.0,15,3.452093
26.0,26,3.493809
16.0,16,3.519141
19.0,19,3.549819
20.0,20,3.580384
11.0,11,3.597287
12.0,12,3.616465
14.0,14,3.63905
19.0,19,3.66946
29.0,29,3.715047
13.0,13,3.735593
12.0,12,3.755011
35.0,35,3.809232
14.0,14,3.831223
28.0,28,3.875677
11.0,11,3.892541
16.0,16,3.918276
35.0,35,3.973544
32.0,32,4.023439
14.0,14,4.045405
26.0,26,4.087505
13.0,13,4.107947
14.0,14,4.128948
11.0,11,4.146078
10.0,10,4.161695
19.0,19,4.191642
47.0,47,4.399984
10.0,10,4.634559
13.0,13,4.944267
10.0,10,5.451789
11.0,11,5.72493
9.0,9,5.943663
9.0,9,6.1597
10.0,10,6.40024
10.0,10,6.720126
10.0,10,6.999853
10.0,10,7.277866
9.0,9,7.494938
9.0,9,7.744897
10.0,10,8.059849
8.0,8,8.25399
10.0,10,8.495076
9.0,9,8.711758
9.0,9,8.923447
8.0,8,9.114328
9.0,9,9.419915
10.0,10,9.663423
10.0,10,9.904568
9.0,9,10.121811
9.0,9,10.339947
9.0,9,10.653269
10.0,10,10.900595
9.0,9,11.113233
8.0,8,11.302701
8.0,8,11.491174
10.0,10,11.730283
8.0,8,12.010117
10.0,10,12.255883
8.0,8,12.44928
10.0,10,12.691802
10.0,10,12.939081
9.0,9,13.350712
9.0,9,13.612098
9.0,9,13.857995
10.0,10,14.122512
10.0,10,14.387357
10.0,10,14.648066
