#{"t_start": 1532379210.9066114, "env_id": "CartPole-v0"}
r,l,t
12.0,12,3.232724
11.0,11,3.250779
21.0,21,3.284975
24.0,24,3.323768
15.0,15,3.354261
15.0,15,3.377825
14.0,14,3.403564
18.0,18,3.434737
13.0,13,3.456259
10.0,10,3.472658
11.0,11,3.490435
9.0,9,3.505327
14.0,14,3.527318
34.0,34,3.58163
20.0,20,3.612295
25.0,25,3.651721
22.0,22,3.687018
27.0,27,3.72937
16.0,16,3.75469
16.0,16,3.780487
13.0,13,3.800526
8.0,8,3.813414
13.0,13,3.833439
18.0,18,3.86161
11.0,11,3.879376
16.0,16,3.904399
15.0,15,3.928143
18.0,18,3.956275
10.0,10,3.972306
16.0,16,3.997436
38.0,38,4.056781
21.0,21,4.091084
41.0,41,4.154373
20.0,20,4.185921
10.0,10,4.201244
13.0,13,4.221912
22.0,22,4.257046
58.0,58,5.532696
9.0,9,5.752027
10.0,10,5.99533
8.0,8,6.186796
10.0,10,6.427357
10.0,10,6.747145
9.0,9,6.996037
9.0,9,7.256799
9.0,9,7.472861
10.0,10,7.748033
11.0,11,8.086941
8.0,8,8.281141
10.0,10,8.522193
10.0,10,8.762304
9.0,9,8.974165
10.0,10,9.212087
9.0,9,9.521168
8.0,8,9.714607
9.0,9,9.93171
10.0,10,10.173183
9.0,9,10.391113
9.0,9,10.710944
9.0,9,10.927731
10.0,10,11.164079
9.0,9,11.377586
10.0,10,11.615346
9.0,9,11.830091
9.0,9,12.136802
9.0,9,12.355267
10.0,10,12.597173
9.0,9,12.817183
9.0,9,13.039501
9.0,9,13.469855
10.0,10,13.751596
9.0,9,13.994812
9.0,9,14.228323
10.0,10,14.498094
