#{"t_start": 1532378772.977479, "env_id": "CartPole-v0"}
r,l,t
31.0,31,3.400498
41.0,41,3.470275
11.0,11,3.490739
13.0,13,3.51456
10.0,10,3.532193
24.0,24,3.572455
18.0,18,3.601384
17.0,17,3.629021
18.0,18,3.656639
15.0,15,3.680267
15.0,15,3.703727
17.0,17,3.730256
10.0,10,3.745824
17.0,17,3.773287
15.0,15,3.797201
26.0,26,3.837616
26.0,26,3.87846
22.0,22,3.91336
29.0,29,3.959254
20.0,20,3.993237
41.0,41,4.060233
21.0,21,4.095948
35.0,35,4.150939
37.0,37,4.209815
11.0,11,4.227458
16.0,16,4.253147
21.0,21,4.286466
16.0,16,4.313804
18.0,18,4.342998
12.0,12,4.361924
15.0,15,4.386324
44.0,44,4.796061
16.0,16,5.188916
10.0,10,5.631778
9.0,9,5.855026
10.0,10,6.104787
9.0,9,6.325887
9.0,9,6.545797
9.0,9,6.856481
10.0,10,7.112314
9.0,9,7.334375
9.0,9,7.557765
10.0,10,7.802245
9.0,9,8.020667
9.0,9,8.341947
10.0,10,8.590018
8.0,8,8.787338
10.0,10,9.039048
8.0,8,9.237553
10.0,10,9.584214
10.0,10,9.837301
9.0,9,10.059966
10.0,10,10.307463
10.0,10,10.554803
9.0,9,10.864102
9.0,9,11.100029
10.0,10,11.348786
9.0,9,11.574756
9.0,9,11.806104
9.0,9,12.032843
9.0,9,12.344826
10.0,10,12.59189
10.0,10,12.841089
10.0,10,13.086729
9.0,9,13.306982
9.0,9,13.666823
9.0,9,13.893605
9.0,9,14.119603
9.0,9,14.343596
10.0,10,14.595624
9.0,9,14.898032
10.0,10,15.144126
10.0,10,15.391611
10.0,10,15.636894
10.0,10,15.884508
10.0,10,16.212309
18.0,18,16.659388
27.0,27,17.337578
8.0,8,17.62605
9.0,9,17.850733
9.0,9,18.076576
10.0,10,18.328948
10.0,10,18.5807
9.0,9,18.885935
9.0,9,19.110865
8.0,8,19.310615
10.0,10,19.561376
9.0,9,19.787746
10.0,10,20.041485
9.0,9,20.359782
10.0,10,20.614586
10.0,10,20.863402
8.0,8,21.06157
10.0,10,21.311335
8.0,8,21.631275
8.0,8,21.865706
9.0,9,22.093615
10.0,10,22.345145
9.0,9,22.568992
10.0,10,22.817326
9.0,9,23.188818
10.0,10,23.441545
10.0,10,23.694059
9.0,9,23.921531
9.0,9,24.143574
10.0,10,24.487058
10.0,10,24.743258
10.0,10,24.999329
9.0,9,25.226314
9.0,9,25.451916
10.0,10,25.805589
9.0,9,26.030318
11.0,11,26.306321
8.0,8,26.509387
9.0,9,26.735513
8.0,8,26.936488
8.0,8,27.21903
9.0,9,27.445437
10.0,10,27.737935
10.0,10,27.991797
10.0,10,28.245892
10.0,10,28.596813
10.0,10,28.850473
16.0,16,29.251394
14.0,14,29.604641
15.0,15,30.069281
14.0,14,30.421074
15.0,15,30.79697
14.0,14,31.285646
17.0,17,31.712107
30.0,30,32.590457
24.0,24,33.193798
22.0,22,33.746424
19.0,19,34.306628
35.0,35,35.262255
55.0,55,36.764966
22.0,22,37.328514
66.0,66,39.068492
199.0,199,44.509328
200.0,200,49.971308
159.0,159,54.388551
164.0,164,58.801119
196.0,196,64.301702
200.0,200,69.748331
169.0,169,74.376412
171.0,171,79.181381
200.0,200,84.63966
200.0,200,90.169463
190.0,190,95.404445
200.0,200,100.905731
200.0,200,106.484966
200.0,200,112.052528
200.0,200,117.500018
200.0,200,123.017386
200.0,200,128.742615
200.0,200,134.207345
200.0,200,139.710715
200.0,200,145.232425
200.0,200,150.853095
200.0,200,156.284252
200.0,200,162.055486
200.0,200,167.572865
200.0,200,173.170209
200.0,200,178.656806
200.0,200,184.266972
200.0,200,189.876444
200.0,200,195.581334
200.0,200,201.059016
