#{"t_start": 1532378772.9948666, "env_id": "CartPole-v0"}
r,l,t
11.0,11,3.350456
29.0,29,3.398255
16.0,16,3.424247
11.0,11,3.442677
12.0,12,3.466436
18.0,18,3.49933
15.0,15,3.525191
44.0,44,3.597265
12.0,12,3.61646
19.0,19,3.645757
12.0,12,3.66473
20.0,20,3.696056
18.0,18,3.724124
14.0,14,3.746943
13.0,13,3.76713
24.0,24,3.805163
13.0,13,3.825706
17.0,17,3.852124
21.0,21,3.885065
36.0,36,3.942146
15.0,15,3.96543
52.0,52,4.052648
23.0,23,4.091665
12.0,12,4.110632
18.0,18,4.138555
22.0,22,4.173617
23.0,23,4.210369
24.0,24,4.248798
45.0,45,4.322793
30.0,30,4.370901
19.0,19,4.400482
19.0,19,4.65887
13.0,13,4.975523
10.0,10,5.222555
9.0,9,5.640181
9.0,9,5.862668
10.0,10,6.112797
10.0,10,6.358053
10.0,10,6.603329
10.0,10,6.946375
9.0,9,7.168617
9.0,9,7.39092
9.0,9,7.61463
10.0,10,7.858724
10.0,10,8.199806
10.0,10,8.449207
10.0,10,8.695239
9.0,9,8.92297
10.0,10,9.170744
10.0,10,9.513063
9.0,9,9.744634
9.0,9,9.969609
10.0,10,10.215785
10.0,10,10.464834
9.0,9,10.685315
10.0,10,11.033431
9.0,9,11.256974
9.0,9,11.481559
9.0,9,11.711209
9.0,9,11.939624
10.0,10,12.277176
9.0,9,12.501808
10.0,10,12.749268
10.0,10,12.996626
8.0,8,13.19302
10.0,10,13.569282
10.0,10,13.82661
10.0,10,14.077902
9.0,9,14.302252
10.0,10,14.552955
10.0,10,14.881056
10.0,10,15.12721
10.0,10,15.374611
8.0,8,15.570769
10.0,10,15.818115
9.0,9,16.043397
11.0,11,16.394229
24.0,24,16.991937
11.0,11,17.26774
9.0,9,17.584354
10.0,10,17.833922
8.0,8,18.034621
10.0,10,18.286918
9.0,9,18.512638
10.0,10,18.843447
10.0,10,19.093977
8.0,8,19.29375
10.0,10,19.544316
8.0,8,19.745188
9.0,9,19.972961
10.0,10,20.317461
8.0,8,20.522918
10.0,10,20.772674
10.0,10,21.019946
9.0,9,21.24411
9.0,9,21.575186
9.0,9,21.848868
10.0,10,22.101438
9.0,9,22.328206
11.0,11,22.603196
10.0,10,22.974387
10.0,10,23.248842
11.0,11,23.526407
10.0,10,23.777948
9.0,9,24.003089
9.0,9,24.224109
8.0,8,24.521414
8.0,8,24.726347
10.0,10,24.982423
8.0,8,25.184436
10.0,10,25.434941
10.0,10,25.7887
9.0,9,26.013337
10.0,10,26.264783
11.0,11,26.54266
11.0,11,26.818747
9.0,9,27.126961
10.0,10,27.378306
10.0,10,27.670026
9.0,9,27.896745
9.0,9,28.12653
10.0,10,28.469342
9.0,9,28.707036
16.0,16,29.110663
24.0,24,29.795166
12.0,12,30.103597
17.0,17,30.529243
15.0,15,30.906132
22.0,22,31.594243
16.0,16,31.993629
23.0,23,32.700209
18.0,18,33.151824
18.0,18,33.603887
110.0,110,36.634503
23.0,23,37.234622
49.0,49,38.548955
200.0,200,44.020767
157.0,157,48.298849
163.0,163,52.767022
200.0,200,58.128398
157.0,157,62.553078
155.0,155,66.869146
200.0,200,72.326424
160.0,160,76.720301
200.0,200,82.251721
200.0,200,87.754468
200.0,200,93.377199
200.0,200,98.845671
200.0,200,104.402909
200.0,200,110.011161
200.0,200,115.451529
200.0,200,120.953859
200.0,200,126.570837
200.0,200,132.183635
200.0,200,137.651152
200.0,200,143.16627
200.0,200,148.805498
200.0,200,154.259419
200.0,200,159.966995
200.0,200,165.51026
200.0,200,171.118675
200.0,200,176.586413
200.0,200,182.172046
200.0,200,187.771804
200.0,200,193.334734
200.0,200,198.995183
