#{"t_start": 1532378772.9811566, "env_id": "CartPole-v0"}
r,l,t
14.0,14,3.368864
25.0,25,3.410043
18.0,18,3.439367
12.0,12,3.460465
14.0,14,3.487123
11.0,11,3.507306
16.0,16,3.535058
25.0,25,3.57676
12.0,12,3.596203
54.0,54,3.681247
31.0,31,3.729774
12.0,12,3.748433
16.0,16,3.774455
15.0,15,3.798481
19.0,19,3.827738
16.0,16,3.853375
15.0,15,3.876451
21.0,21,3.909738
12.0,12,3.929264
23.0,23,3.964988
11.0,11,3.981997
12.0,12,4.003685
17.0,17,4.033237
25.0,25,4.072094
11.0,11,4.092355
48.0,48,4.168172
14.0,14,4.190435
36.0,36,4.247941
19.0,19,4.277858
42.0,42,4.347335
10.0,10,4.363084
37.0,37,4.421752
13.0,13,4.648395
19.0,19,5.110651
13.0,13,5.62816
10.0,10,5.875981
9.0,9,6.101172
8.0,8,6.297712
11.0,11,6.566637
8.0,8,6.852849
9.0,9,7.08314
10.0,10,7.330761
9.0,9,7.554163
10.0,10,7.798617
10.0,10,8.122877
9.0,9,8.362861
8.0,8,8.561875
10.0,10,8.80856
9.0,9,9.035426
10.0,10,9.284409
9.0,9,9.607952
9.0,9,9.833675
10.0,10,10.080796
10.0,10,10.330003
9.0,9,10.551167
10.0,10,10.888895
9.0,9,11.120922
9.0,9,11.345172
10.0,10,11.598743
10.0,10,11.851995
10.0,10,12.185917
9.0,9,12.414963
9.0,9,12.638623
9.0,9,12.862266
9.0,9,13.083112
9.0,9,13.303363
10.0,10,13.68889
10.0,10,13.940406
10.0,10,14.191101
10.0,10,14.440586
10.0,10,14.692464
8.0,8,14.968899
8.0,8,15.165362
10.0,10,15.412372
10.0,10,15.657842
9.0,9,15.880886
9.0,9,16.183298
10.0,10,16.432937
15.0,15,16.806591
16.0,16,17.207155
8.0,8,17.409002
10.0,10,17.746861
10.0,10,17.998031
9.0,9,18.22457
9.0,9,18.450881
10.0,10,18.703045
10.0,10,19.033366
9.0,9,19.256007
10.0,10,19.506761
10.0,10,19.758496
11.0,11,20.037856
9.0,9,20.356158
9.0,9,20.585902
10.0,10,20.835103
10.0,10,21.082795
10.0,10,21.332927
10.0,10,21.7295
10.0,10,21.98856
10.0,10,22.241686
10.0,10,22.490918
10.0,10,22.739441
10.0,10,23.132773
8.0,8,23.337957
8.0,8,23.539718
10.0,10,23.791265
10.0,10,24.041412
10.0,10,24.371507
9.0,9,24.613799
10.0,10,24.868139
8.0,8,25.071683
9.0,9,25.2977
10.0,10,25.554221
10.0,10,25.903979
9.0,9,26.127098
10.0,10,26.380089
10.0,10,26.632234
10.0,10,26.882147
9.0,9,27.190471
9.0,9,27.416745
9.0,9,27.683238
10.0,10,27.936774
9.0,9,28.165572
9.0,9,28.482482
10.0,10,28.746401
13.0,13,29.072823
15.0,15,29.449489
9.0,9,29.677125
12.0,12,30.065656
11.0,11,30.34257
16.0,16,30.742548
19.0,19,31.357646
23.0,23,31.931505
20.0,20,32.480261
36.0,36,33.467394
29.0,29,34.277939
167.0,167,38.76288
161.0,161,43.170242
200.0,200,48.615953
173.0,173,53.405248
173.0,173,58.015574
161.0,161,62.464567
150.0,150,66.654412
200.0,200,72.089042
189.0,189,77.3274
199.0,199,82.823829
200.0,200,88.34214
199.0,199,93.923206
200.0,200,99.398222
200.0,200,104.960609
200.0,200,110.557111
200.0,200,115.998025
200.0,200,121.50731
200.0,200,127.123149
200.0,200,132.72753
200.0,200,138.202856
200.0,200,143.726637
200.0,200,149.355106
200.0,200,154.80218
200.0,200,160.530295
200.0,200,166.064925
200.0,200,171.663078
200.0,200,177.139292
200.0,200,182.73458
200.0,200,188.334075
200.0,200,193.897952
200.0,200,199.546026
