#{"t_start": 1532378773.0091927, "env_id": "CartPole-v0"}
r,l,t
17.0,17,3.346349
15.0,15,3.370958
9.0,9,3.38587
18.0,18,3.415107
14.0,14,3.441015
18.0,18,3.474377
14.0,14,3.498624
24.0,24,3.5392
13.0,13,3.560568
17.0,17,3.588081
43.0,43,3.655215
20.0,20,3.686876
30.0,30,3.734321
55.0,55,3.820941
23.0,23,3.856622
20.0,20,3.888459
18.0,18,3.917217
16.0,16,3.942091
38.0,38,4.00714
14.0,14,4.029097
11.0,11,4.045964
32.0,32,4.099617
10.0,10,4.1151
13.0,13,4.135747
13.0,13,4.156407
15.0,15,4.180118
11.0,11,4.197758
10.0,10,4.214053
41.0,41,4.278121
25.0,25,4.321334
14.0,14,4.343562
26.0,26,4.384768
17.0,17,4.573139
11.0,11,4.837438
10.0,10,5.083285
8.0,8,5.472838
8.0,8,5.676694
9.0,9,5.897398
10.0,10,6.148824
10.0,10,6.393608
10.0,10,6.637875
9.0,9,6.95725
8.0,8,7.154513
9.0,9,7.376836
9.0,9,7.600533
10.0,10,7.844587
9.0,9,8.157629
10.0,10,8.409669
10.0,10,8.656262
10.0,10,8.908828
9.0,9,9.131829
10.0,10,9.469486
10.0,10,9.730523
10.0,10,9.980218
10.0,10,10.226013
11.0,11,10.499536
10.0,10,10.833204
8.0,8,11.044107
9.0,9,11.267387
9.0,9,11.492824
9.0,9,11.723779
10.0,10,11.977076
10.0,10,12.313711
10.0,10,12.560919
9.0,9,12.784942
9.0,9,13.006749
10.0,10,13.251596
10.0,10,13.635783
9.0,9,13.862707
9.0,9,14.088573
10.0,10,14.336767
9.0,9,14.56369
10.0,10,14.891521
10.0,10,15.137966
10.0,10,15.3849
10.0,10,15.63042
8.0,8,15.828616
8.0,8,16.029389
8.0,8,16.305111
13.0,13,16.628307
12.0,12,16.927777
9.0,9,17.154646
10.0,10,17.495477
10.0,10,17.744295
10.0,10,17.995245
10.0,10,18.248107
11.0,11,18.523758
8.0,8,18.725806
8.0,8,19.005949
10.0,10,19.253535
10.0,10,19.505204
9.0,9,19.731095
9.0,9,19.95884
10.0,10,20.303237
10.0,10,20.558523
10.0,10,20.807635
10.0,10,21.05535
9.0,9,21.280244
10.0,10,21.670771
9.0,9,21.911247
9.0,9,22.137687
9.0,9,22.363804
10.0,10,22.613858
10.0,10,22.992682
9.0,9,23.234718
10.0,10,23.487167
10.0,10,23.738849
9.0,9,23.964435
11.0,11,24.313164
10.0,10,24.586304
10.0,10,24.840633
9.0,9,25.069386
9.0,9,25.295485
9.0,9,25.526617
10.0,10,25.87654
9.0,9,26.099686
9.0,9,26.327408
8.0,8,26.528592
11.0,11,26.804627
10.0,10,27.137851
10.0,10,27.389331
10.0,10,27.681692
10.0,10,27.935117
10.0,10,28.189451
8.0,8,28.484522
10.0,10,28.744804
15.0,15,29.121415
17.0,17,29.54863
12.0,12,29.936262
15.0,15,30.315114
22.0,22,30.866108
40.0,40,32.00438
16.0,16,32.452824
16.0,16,32.936422
104.0,104,35.727799
47.0,47,37.014926
13.0,13,37.347396
45.0,45,38.559656
147.0,147,42.610563
175.0,175,47.31276
147.0,147,51.326508
165.0,165,55.868566
200.0,200,61.377817
165.0,165,65.968748
189.0,189,71.113746
152.0,152,75.301981
168.0,168,79.943942
200.0,200,85.422317
200.0,200,90.939441
200.0,200,96.498949
200.0,200,102.056423
200.0,200,107.597525
200.0,200,113.166714
200.0,200,118.600903
200.0,200,124.146886
200.0,200,129.830863
200.0,200,135.321715
200.0,200,140.814339
200.0,200,146.346245
200.0,200,151.958507
200.0,200,157.391558
200.0,200,163.175183
200.0,200,168.6999
200.0,200,174.281189
200.0,200,179.754158
200.0,200,185.399216
200.0,200,191.000446
200.0,200,196.672041
200.0,200,202.211562
