#{"t_start": 1532378773.0124788, "env_id": "CartPole-v0"}
r,l,t
70.0,70,3.43174
13.0,13,3.456444
28.0,28,3.506156
33.0,33,3.560527
17.0,17,3.587998
22.0,22,3.622379
25.0,25,3.661155
16.0,16,3.68672
29.0,29,3.732615
13.0,13,3.753375
33.0,33,3.805259
11.0,11,3.822486
33.0,33,3.873775
24.0,24,3.912288
30.0,30,3.962006
24.0,24,4.002351
44.0,44,4.074378
15.0,15,4.097951
11.0,11,4.114924
19.0,19,4.145211
22.0,22,4.180111
13.0,13,4.201398
14.0,14,4.223433
18.0,18,4.252021
28.0,28,4.298464
17.0,17,4.325874
33.0,33,4.378586
15.0,15,4.472281
20.0,20,4.958184
16.0,16,5.545216
9.0,9,5.771628
10.0,10,6.020969
11.0,11,6.291489
8.0,8,6.48723
9.0,9,6.793695
10.0,10,7.052629
10.0,10,7.300037
10.0,10,7.548094
8.0,8,7.7432
10.0,10,7.986354
10.0,10,8.332239
9.0,9,8.555674
9.0,9,8.77794
10.0,10,9.029585
8.0,8,9.228721
10.0,10,9.57747
10.0,10,9.827527
11.0,11,10.099052
9.0,9,10.324348
9.0,9,10.544837
9.0,9,10.858343
9.0,9,11.090266
10.0,10,11.339571
9.0,9,11.568099
9.0,9,11.796766
10.0,10,12.127421
10.0,10,12.384374
10.0,10,12.633591
9.0,9,12.856291
10.0,10,13.101086
10.0,10,13.345918
9.0,9,13.709025
9.0,9,13.934638
11.0,11,14.210159
9.0,9,14.434474
10.0,10,14.685997
9.0,9,14.988334
9.0,9,15.208436
8.0,8,15.406075
10.0,10,15.652517
9.0,9,15.875252
9.0,9,16.17802
10.0,10,16.427294
28.0,28,17.126589
10.0,10,17.378332
12.0,12,17.765999
8.0,8,17.967382
10.0,10,18.219958
9.0,9,18.445379
10.0,10,18.697395
12.0,12,19.076664
10.0,10,19.326151
9.0,9,19.551981
9.0,9,19.779782
10.0,10,20.032343
9.0,9,20.352433
11.0,11,20.630448
10.0,10,20.878193
10.0,10,21.128493
9.0,9,21.355535
10.0,10,21.754714
8.0,8,21.957911
8.0,8,22.159647
9.0,9,22.38541
10.0,10,22.635146
11.0,11,23.048526
10.0,10,23.307614
9.0,9,23.534727
10.0,10,23.786867
10.0,10,24.036088
8.0,8,24.309857
8.0,8,24.531457
10.0,10,24.786686
10.0,10,25.041036
8.0,8,25.241993
9.0,9,25.469133
8.0,8,25.771376
10.0,10,26.021106
9.0,9,26.247483
9.0,9,26.475158
9.0,9,26.701255
9.0,9,26.9283
8.0,8,27.209645
10.0,10,27.461277
9.0,9,27.728628
9.0,9,27.95749
10.0,10,28.211571
9.0,9,28.536958
10.0,10,28.791431
19.0,19,29.267362
12.0,12,29.570335
15.0,15,30.035011
16.0,16,30.436863
28.0,28,31.277141
26.0,26,31.925831
28.0,28,32.758221
28.0,28,33.462044
107.0,107,36.333372
60.0,60,38.02995
102.0,102,40.85449
200.0,200,46.263873
200.0,200,51.786726
180.0,180,56.546304
200.0,200,62.071212
143.0,143,66.090238
200.0,200,71.523608
155.0,155,75.787167
200.0,200,81.336399
200.0,200,86.814108
185.0,185,91.966541
200.0,200,97.554939
200.0,200,103.081413
200.0,200,108.604259
200.0,200,114.162444
200.0,200,119.608639
200.0,200,125.188087
200.0,200,130.858329
200.0,200,136.32637
200.0,200,141.836089
200.0,200,147.47492
200.0,200,152.965359
200.0,200,158.415515
200.0,200,164.183692
200.0,200,169.823411
200.0,200,175.286638
200.0,200,180.831964
200.0,200,186.42781
200.0,200,192.014395
200.0,200,197.665534
200.0,200,203.217057
