#{"t_start": 1532378773.0060656, "env_id": "CartPole-v0"}
r,l,t
16.0,16,3.347782
65.0,65,3.458946
61.0,61,3.563664
15.0,15,3.587914
26.0,26,3.628508
16.0,16,3.653634
19.0,19,3.683321
20.0,20,3.714548
11.0,11,3.73279
12.0,12,3.751551
14.0,14,3.773985
19.0,19,3.803157
29.0,29,3.848701
13.0,13,3.869079
12.0,12,3.888395
35.0,35,3.943623
14.0,14,3.968208
28.0,28,4.015066
11.0,11,4.032065
16.0,16,4.057509
35.0,35,4.115189
32.0,32,4.165891
14.0,14,4.188032
26.0,26,4.22973
13.0,13,4.250157
14.0,14,4.271911
11.0,11,4.291975
10.0,10,4.308499
19.0,19,4.338579
47.0,47,4.551621
10.0,10,4.79206
13.0,13,5.111061
10.0,10,5.551369
11.0,11,5.826962
9.0,9,6.052264
9.0,9,6.273254
10.0,10,6.517707
10.0,10,6.856723
10.0,10,7.108988
10.0,10,7.355307
9.0,9,7.579246
9.0,9,7.799121
10.0,10,8.130579
8.0,8,8.338408
10.0,10,8.586186
9.0,9,8.809479
9.0,9,9.035741
8.0,8,9.234848
9.0,9,9.556245
10.0,10,9.809256
10.0,10,10.056353
9.0,9,10.279461
9.0,9,10.502473
9.0,9,10.806703
10.0,10,11.07192
9.0,9,11.295909
8.0,8,11.496004
8.0,8,11.700098
10.0,10,11.955157
8.0,8,12.240937
10.0,10,12.4907
8.0,8,12.689017
10.0,10,12.936006
10.0,10,13.18191
9.0,9,13.528829
9.0,9,13.765211
9.0,9,13.990507
10.0,10,14.241751
11.0,11,14.517467
10.0,10,14.844733
8.0,8,15.043023
9.0,9,15.263692
10.0,10,15.510872
8.0,8,15.708386
8.0,8,15.90626
8.0,8,16.18422
10.0,10,16.433534
11.0,11,16.705943
15.0,15,17.081573
10.0,10,17.334472
10.0,10,17.672542
10.0,10,17.923048
11.0,11,18.200273
9.0,9,18.426484
8.0,8,18.628527
8.0,8,18.908537
9.0,9,19.13242
9.0,9,19.357066
9.0,9,19.58329
10.0,10,19.837324
10.0,10,20.17766
9.0,9,20.408805
9.0,9,20.636623
10.0,10,20.884378
11.0,11,21.159181
10.0,10,21.412926
9.0,9,21.78706
10.0,10,22.040662
9.0,9,22.267418
9.0,9,22.491138
8.0,8,22.690382
10.0,10,23.081778
9.0,9,23.313771
10.0,10,23.565782
11.0,11,23.843758
9.0,9,24.066881
9.0,9,24.376777
10.0,10,24.639352
10.0,10,24.894651
10.0,10,25.148423
10.0,10,25.39873
9.0,9,25.722233
10.0,10,25.977636
9.0,9,26.203737
10.0,10,26.456242
9.0,9,26.682469
10.0,10,26.934438
10.0,10,27.266614
10.0,10,27.539539
9.0,9,27.784653
10.0,10,28.040998
10.0,10,28.294121
9.0,9,28.619942
12.0,12,28.923102
20.0,20,29.425271
22.0,22,30.066392
19.0,19,30.543943
19.0,19,31.020763
30.0,30,31.907161
27.0,27,32.714659
97.0,97,35.31091
61.0,61,36.96726
60.0,60,38.562602
153.0,153,42.76623
151.0,151,46.860433
161.0,161,51.228512
193.0,193,56.47485
190.0,190,61.741913
153.0,153,66.021669
200.0,200,71.453858
191.0,191,76.734951
200.0,200,82.266005
200.0,200,87.769848
200.0,200,93.391832
200.0,200,98.860114
200.0,200,104.417508
200.0,200,110.026369
200.0,200,115.465945
200.0,200,120.968332
200.0,200,126.585092
200.0,200,132.197429
200.0,200,137.666051
200.0,200,143.181726
200.0,200,148.819915
200.0,200,154.273442
200.0,200,159.982171
200.0,200,165.524929
200.0,200,171.132725
200.0,200,176.600772
200.0,200,182.186717
200.0,200,187.787491
200.0,200,193.349683
200.0,200,199.009582
