#{"t_start": 1532378773.0007913, "env_id": "CartPole-v0"}
r,l,t
16.0,16,3.352845
20.0,20,3.385736
15.0,15,3.410261
25.0,25,3.455208
14.0,14,3.480646
19.0,19,3.513981
26.0,26,3.557327
25.0,25,3.597873
19.0,19,3.627619
9.0,9,3.641377
16.0,16,3.666516
53.0,53,3.750228
13.0,13,3.771005
19.0,19,3.800848
24.0,24,3.838504
12.0,12,3.857068
13.0,13,3.877354
33.0,33,3.930025
16.0,16,3.95479
35.0,35,4.015348
10.0,10,4.031086
51.0,51,4.114038
32.0,32,4.164567
28.0,28,4.209018
13.0,13,4.230092
43.0,43,4.300261
16.0,16,4.326268
32.0,32,4.37767
19.0,19,4.40697
21.0,21,4.894973
17.0,17,5.506691
8.0,8,5.709273
10.0,10,5.95577
9.0,9,6.181562
8.0,8,6.377123
9.0,9,6.597235
9.0,9,6.914083
11.0,11,7.186816
9.0,9,7.409318
9.0,9,7.632905
9.0,9,7.852637
11.0,11,8.2203
10.0,10,8.467732
9.0,9,8.68912
9.0,9,8.916853
10.0,10,9.16465
9.0,9,9.477453
10.0,10,9.738522
9.0,9,9.96346
9.0,9,10.185087
9.0,9,10.409377
9.0,9,10.628823
8.0,8,10.923465
9.0,9,11.151148
9.0,9,11.376932
10.0,10,11.629519
9.0,9,11.857767
9.0,9,12.166628
9.0,9,12.395608
9.0,9,12.61928
9.0,9,12.84289
8.0,8,13.03921
10.0,10,13.284003
9.0,9,13.643806
9.0,9,13.870625
9.0,9,14.096583
10.0,10,14.344794
10.0,10,14.598617
10.0,10,14.924271
8.0,8,15.121111
9.0,9,15.344088
9.0,9,15.564673
10.0,10,15.811993
10.0,10,16.063055
13.0,13,16.463255
12.0,12,16.761864
14.0,14,17.112448
12.0,12,17.503429
13.0,13,17.827769
10.0,10,18.078344
9.0,9,18.305922
9.0,9,18.531766
10.0,10,18.862955
9.0,9,19.08786
10.0,10,19.337439
9.0,9,19.563185
10.0,10,19.815886
8.0,8,20.018531
9.0,9,20.336843
9.0,9,20.566545
9.0,9,20.791212
8.0,8,20.98889
8.0,8,21.188902
11.0,11,21.569207
9.0,9,21.842731
10.0,10,22.095484
9.0,9,22.322104
10.0,10,22.571471
10.0,10,22.819253
10.0,10,23.217727
10.0,10,23.47024
8.0,8,23.671089
9.0,9,23.898516
9.0,9,24.120547
10.0,10,24.464034
10.0,10,24.720244
10.0,10,24.976326
9.0,9,25.203291
10.0,10,25.454222
9.0,9,25.782583
10.0,10,26.032346
10.0,10,26.283335
8.0,8,26.486385
9.0,9,26.712498
10.0,10,27.045292
8.0,8,27.246008
11.0,11,27.544329
9.0,9,27.789707
9.0,9,28.020431
9.0,9,28.248792
10.0,10,28.599592
11.0,11,28.877373
13.0,13,29.203676
16.0,16,29.606443
10.0,10,29.944263
16.0,16,30.348108
14.0,14,30.697787
22.0,22,31.388138
21.0,21,31.912163
14.0,14,32.261745
19.0,19,32.869013
18.0,18,33.321176
21.0,21,33.930497
99.0,99,36.597381
28.0,28,37.330498
78.0,78,39.475987
131.0,131,43.02589
150.0,150,47.093472
142.0,142,50.98136
179.0,179,55.876556
165.0,165,60.370483
174.0,174,65.181223
194.0,194,70.484986
151.0,151,74.660866
200.0,200,80.206648
200.0,200,85.687474
200.0,200,91.206302
200.0,200,96.761232
200.0,200,102.324664
200.0,200,107.864006
200.0,200,113.427798
200.0,200,118.866524
200.0,200,124.421471
200.0,200,130.093878
200.0,200,135.583451
200.0,200,141.082373
200.0,200,146.613344
200.0,200,152.219072
200.0,200,157.660524
200.0,200,163.445231
200.0,200,168.964556
200.0,200,174.545805
200.0,200,180.022936
200.0,200,185.666312
200.0,200,191.265763
200.0,200,196.93448
200.0,200,202.479564
