#{"t_start": 1532378772.97916, "env_id": "CartPole-v0"}
r,l,t
26.0,26,3.390564
15.0,15,3.41539
17.0,17,3.442996
18.0,18,3.476568
20.0,20,3.512944
37.0,37,3.575334
13.0,13,3.596508
15.0,15,3.620871
23.0,23,3.656687
11.0,11,3.673506
21.0,21,3.706721
13.0,13,3.727131
16.0,16,3.75229
11.0,11,3.770035
11.0,11,3.787742
14.0,14,3.809662
17.0,17,3.835951
51.0,51,3.916496
25.0,25,3.956119
25.0,25,3.997923
15.0,15,4.022927
16.0,16,4.049505
11.0,11,4.066541
13.0,13,4.087026
17.0,17,4.116441
11.0,11,4.133922
31.0,31,4.183047
12.0,12,4.201806
11.0,11,4.219484
37.0,37,4.278238
15.0,15,4.30155
11.0,11,4.321668
18.0,18,4.35094
18.0,18,4.379425
13.0,13,4.400616
13.0,13,4.420541
10.0,10,4.529004
22.0,22,5.063826
10.0,10,5.502202
9.0,9,5.730687
9.0,9,5.95208
9.0,9,6.178139
9.0,9,6.398463
9.0,9,6.618626
9.0,9,6.935477
9.0,9,7.159836
10.0,10,7.406246
9.0,9,7.629956
9.0,9,7.850031
9.0,9,8.156721
9.0,9,8.389605
9.0,9,8.61266
9.0,9,8.83588
10.0,10,9.087236
10.0,10,9.335715
10.0,10,9.685143
9.0,9,9.909965
9.0,9,10.131711
10.0,10,10.381544
9.0,9,10.601836
9.0,9,10.918321
10.0,10,11.172523
9.0,9,11.398277
8.0,8,11.600726
11.0,11,11.879147
10.0,10,12.215086
9.0,9,12.441726
10.0,10,12.690887
9.0,9,12.913302
8.0,8,13.10961
8.0,8,13.305326
10.0,10,13.690869
8.0,8,13.891963
9.0,9,14.11795
9.0,9,14.341942
10.0,10,14.592921
10.0,10,14.921097
10.0,10,15.16733
9.0,9,15.389961
10.0,10,15.635239
9.0,9,15.858067
9.0,9,16.084365
16.0,16,16.558555
23.0,23,17.133699
10.0,10,17.385834
10.0,10,17.723907
9.0,9,17.949491
10.0,10,18.200652
8.0,8,18.402025
9.0,9,18.630223
10.0,10,18.960702
9.0,9,19.183768
9.0,9,19.40828
10.0,10,19.660507
10.0,10,19.913748
9.0,9,20.231578
8.0,8,20.435309
10.0,10,20.687881
11.0,11,20.960594
10.0,10,21.210305
10.0,10,21.54507
10.0,10,21.864048
10.0,10,22.116843
9.0,9,22.343493
9.0,9,22.567336
10.0,10,22.81567
10.0,10,23.212598
9.0,9,23.439894
10.0,10,23.692398
11.0,11,23.969419
10.0,10,24.214748
10.0,10,24.563873
10.0,10,24.819314
9.0,9,25.048562
8.0,8,25.24967
9.0,9,25.475586
10.0,10,25.82987
10.0,10,26.078908
9.0,9,26.304669
11.0,11,26.583685
8.0,8,26.78429
10.0,10,27.117183
10.0,10,27.368886
9.0,9,27.63083
10.0,10,27.886754
10.0,10,28.141887
10.0,10,28.484499
9.0,9,28.722256
13.0,13,29.049722
14.0,14,29.40074
14.0,14,29.837132
16.0,16,30.245552
17.0,17,30.669746
16.0,16,31.200994
23.0,23,31.785183
29.0,29,32.639956
28.0,28,33.342473
30.0,30,34.179789
101.0,101,36.916764
40.0,40,38.012651
114.0,114,41.138394
200.0,200,46.552636
200.0,200,52.072689
170.0,170,56.57898
200.0,200,62.103918
153.0,153,66.377884
200.0,200,71.812909
154.0,154,76.049638
200.0,200,81.598378
200.0,200,87.081715
200.0,200,92.630935
200.0,200,98.190798
200.0,200,103.732547
200.0,200,109.256275
200.0,200,114.798668
200.0,200,120.27856
200.0,200,125.839297
200.0,200,131.521492
200.0,200,136.977331
200.0,200,142.493943
200.0,200,148.137048
200.0,200,153.607263
200.0,200,159.072311
200.0,200,164.84151
200.0,200,170.468067
200.0,200,175.925291
200.0,200,181.494293
200.0,200,187.078309
200.0,200,192.671224
200.0,200,198.309037
200.0,200,203.857128
