#{"t_start": 1532378772.977164, "env_id": "CartPole-v0"}
r,l,t
18.0,18,3.37945
54.0,54,3.470496
18.0,18,3.50398
21.0,21,3.54084
14.0,14,3.564252
14.0,14,3.587262
10.0,10,3.603207
21.0,21,3.636836
32.0,32,3.686762
22.0,22,3.721431
21.0,21,3.754112
24.0,24,3.792799
11.0,11,3.810028
17.0,17,3.83619
11.0,11,3.85411
17.0,17,3.880326
11.0,11,3.897493
17.0,17,3.924963
14.0,14,3.947107
41.0,41,4.015229
14.0,14,4.038673
15.0,15,4.062172
30.0,30,4.11218
20.0,20,4.1436
51.0,51,4.224558
16.0,16,4.250286
43.0,43,4.320416
17.0,17,4.347947
16.0,16,4.37345
11.0,11,4.391424
36.0,36,4.676188
11.0,11,4.943612
10.0,10,5.189249
9.0,9,5.607315
10.0,10,5.855299
10.0,10,6.10505
10.0,10,6.35035
10.0,10,6.595197
9.0,9,6.911305
10.0,10,7.161758
11.0,11,7.432652
10.0,10,7.680702
9.0,9,7.899996
10.0,10,8.243517
9.0,9,8.46647
10.0,10,8.712434
10.0,10,8.965234
9.0,9,9.187957
9.0,9,9.500776
8.0,8,9.711432
10.0,10,9.961364
10.0,10,10.208398
10.0,10,10.457752
10.0,10,10.702514
9.0,9,11.025126
8.0,8,11.2253
9.0,9,11.450071
9.0,9,11.678504
10.0,10,11.932447
10.0,10,12.269335
9.0,9,12.494512
8.0,8,12.69281
9.0,9,12.915229
9.0,9,13.135735
9.0,9,13.355948
8.0,8,13.692822
10.0,10,13.9443
8.0,8,14.14456
10.0,10,14.39266
9.0,9,14.621938
9.0,9,14.923022
8.0,8,15.120083
10.0,10,15.367403
9.0,9,15.587981
8.0,8,15.786059
9.0,9,16.009655
10.0,10,16.336457
14.0,14,16.684658
15.0,15,17.058957
9.0,9,17.285008
10.0,10,17.626337
8.0,8,17.825523
10.0,10,18.076849
9.0,9,18.3042
9.0,9,18.529902
10.0,10,18.860652
9.0,9,19.086577
8.0,8,19.284808
10.0,10,19.536581
8.0,8,19.73771
10.0,10,19.990223
8.0,8,20.284701
10.0,10,20.540203
10.0,10,20.789957
10.0,10,21.037218
10.0,10,21.286074
8.0,8,21.592419
9.0,9,21.86599
11.0,11,22.143953
9.0,9,22.370326
10.0,10,22.620397
10.0,10,22.991783
10.0,10,23.266114
9.0,9,23.493386
8.0,8,23.69435
9.0,9,23.921807
9.0,9,24.143847
9.0,9,24.461051
10.0,10,24.718226
10.0,10,24.974063
10.0,10,25.226577
9.0,9,25.452183
8.0,8,25.750469
9.0,9,25.981507
10.0,10,26.232033
9.0,9,26.459542
9.0,9,26.685923
9.0,9,26.911135
9.0,9,27.219313
9.0,9,27.445721
9.0,9,27.713095
10.0,10,27.966384
9.0,9,28.195047
10.0,10,28.54395
9.0,9,28.776155
14.0,14,29.127862
15.0,15,29.504996
15.0,15,29.96757
13.0,13,30.296819
10.0,10,30.546455
10.0,10,30.797266
22.0,22,31.487043
24.0,24,32.084753
22.0,22,32.767958
24.0,24,33.369599
29.0,29,34.181728
157.0,157,38.414545
142.0,142,42.333028
143.0,143,46.218236
200.0,200,51.738284
182.0,182,56.555463
200.0,200,62.080452
135.0,135,65.881981
200.0,200,71.326105
174.0,174,76.077311
184.0,184,81.219177
200.0,200,86.693088
200.0,200,92.237534
200.0,200,97.815909
200.0,200,103.348149
200.0,200,108.870399
200.0,200,114.424002
200.0,200,119.881311
200.0,200,125.455984
200.0,200,131.135425
200.0,200,136.593699
200.0,200,142.103881
200.0,200,147.748484
200.0,200,153.230145
200.0,200,158.683372
200.0,200,164.449967
200.0,200,170.088536
200.0,200,175.54896
200.0,200,181.104097
200.0,200,186.693196
200.0,200,192.281688
200.0,200,197.92915
200.0,200,203.480425
